Date,Kurs ?redni,Zmiana
21/07/2023,0.89159,-0.00312
20/07/2023,0.89111,0
19/07/2023,0.89717,0
18/07/2023,0.899059,0
17/07/2023,0.9039,0
14/07/2023,0.903221,0
13/07/2023,0.89538,0
12/07/2023,0.885441,0
11/07/2023,0.88623,0
10/07/2023,0.88801,0
07/07/2023,0.8858,0
06/07/2023,0.88407,0
05/07/2023,0.8847,0
04/07/2023,0.884257,0
03/07/2023,0.882184,0
30/06/2023,0.877055,0
29/06/2023,0.8746,0
28/06/2023,0.881774,0
27/06/2023,0.87768,0
26/06/2023,0.879426,0
23/06/2023,0.8887,0
22/06/2023,0.8947,0
21/06/2023,0.897818,0
20/06/2023,0.904991,0
19/06/2023,0.9068,0
16/06/2023,0.90966,0
15/06/2023,0.905794,0
14/06/2023,0.901263,0
13/06/2023,0.90241,0
12/06/2023,0.89949,0
09/06/2023,0.896923,0
08/06/2023,0.890201,0
07/06/2023,0.894859,0
06/06/2023,0.889338,0
05/06/2023,0.88588,0
02/06/2023,0.88432,0
01/06/2023,0.88264,0
31/05/2023,0.8864,0
30/05/2023,0.88805,0
29/05/2023,0.88813,0
26/05/2023,0.886546,0
25/05/2023,0.88929,0
24/05/2023,0.892795,0
23/05/2023,0.897838,0
22/05/2023,0.8981,0
19/05/2023,0.89449,0
18/05/2023,0.8962,0
17/05/2023,0.89709,0
16/05/2023,0.90242,0
15/05/2023,0.900962,0
12/05/2023,0.90406,0
11/05/2023,0.906843,0
10/05/2023,0.905151,0
09/05/2023,0.906723,0
08/05/2023,0.902793,0
05/05/2023,0.9055,0
04/05/2023,0.905242,0
03/05/2023,0.9081,0
02/05/2023,0.897515,0
01/05/2023,0.89649,0
28/04/2023,0.901689,0
27/04/2023,0.900695,-0.00001
26/04/2023,0.90372,0
25/04/2023,0.9067,0
24/04/2023,0.906137,0
21/04/2023,0.90899,0
20/04/2023,0.90307,0
19/04/2023,0.90191,0
18/04/2023,0.89733,0
17/04/2023,0.896422,0
14/04/2023,0.90493,0
13/04/2023,0.899946,0
12/04/2023,0.89571,0
11/04/2023,0.897737,0
10/04/2023,0.901244,0
07/04/2023,0.90068,0
06/04/2023,0.90349,-0.00018
05/04/2023,0.908157,0
04/04/2023,0.911665,0
03/04/2023,0.89898,0
31/03/2023,0.907787,0
30/03/2023,0.906342,0
29/03/2023,0.911636,0
28/03/2023,0.909329,0
27/03/2023,0.9136535,-0.00003
24/03/2023,0.91649,0
23/03/2023,0.918877,0
22/03/2023,0.915446,0
21/03/2023,0.9182,0
20/03/2023,0.920437,0
17/03/2023,0.9141,0
16/03/2023,0.91098,0
15/03/2023,0.915599,0
14/03/2023,0.9142,0
13/03/2023,0.91302,0
10/03/2023,0.91112,0
09/03/2023,0.90988,0
08/03/2023,0.90591,0
07/03/2023,0.916254,0
06/03/2023,0.91868,0
03/03/2023,0.9149,0
02/03/2023,0.918452,0
01/03/2023,0.918387,0
28/02/2023,0.915,0
27/02/2023,0.915492,0.00036
24/02/2023,0.9216,0
23/02/2023,0.92253,0
22/02/2023,0.928672,0
21/02/2023,0.9294,0
20/02/2023,0.9261,0.00014
17/02/2023,0.924505,0
16/02/2023,0.924732,0
15/02/2023,0.932126,0
14/02/2023,0.92913,0
13/02/2023,0.923417,0
10/02/2023,0.93317,0
09/02/2023,0.9315,0
08/02/2023,0.932558,0
07/02/2023,0.925931,0
06/02/2023,0.92726,0
03/02/2023,0.942068,0
02/02/2023,0.94838,0
01/02/2023,0.938,0
31/01/2023,0.94478,0
30/01/2023,0.945605,-0.00021
27/01/2023,0.9473,0
26/01/2023,0.95107,0
25/01/2023,0.942423,0
24/01/2023,0.939811,0
23/01/2023,0.933635,-0.00013
20/01/2023,0.9302,0
19/01/2023,0.93708,0
18/01/2023,0.9357,0
17/01/2023,0.93333,0
16/01/2023,0.93405,0
13/01/2023,0.932098,0
12/01/2023,0.92787,0
11/01/2023,0.92584,0
10/01/2023,0.9254,0
09/01/2023,0.9261,0
06/01/2023,0.915812,0
05/01/2023,0.92082,0
04/01/2023,0.9193,0
03/01/2023,0.9227,0
02/01/2023,0.92207,0
30/12/2022,0.91697,0
29/12/2022,0.917526,-0.00003
28/12/2022,0.90984,0
27/12/2022,0.91432,0
26/12/2022,0.912108,0
23/12/2022,0.91065,0
22/12/2022,0.913947,0
21/12/2022,0.90957,0
20/12/2022,0.914823,0
19/12/2022,0.915357,0
16/12/2022,0.915833,0
15/12/2022,0.92917,0
14/12/2022,0.92743,0
13/12/2022,0.92025,-0.00034
12/12/2022,0.92591,0
09/12/2022,0.920992,0
08/12/2022,0.91826,0
07/12/2022,0.913841,0
06/12/2022,0.911045,0
05/12/2022,0.91602,0
02/12/2022,0.915038,0
01/12/2022,0.9116,0
30/11/2022,0.90794,0
29/11/2022,0.897294,0
28/11/2022,0.899917,-0.00007
25/11/2022,0.9019,0
24/11/2022,0.899802,0
23/11/2022,0.88846,0
22/11/2022,0.88846,0
21/11/2022,0.89376,0
18/11/2022,0.89108,0
17/11/2022,0.898705,0
16/11/2022,0.898584,0
15/11/2022,0.89164,0
14/11/2022,0.888547,0
11/11/2022,0.8807,0
10/11/2022,0.869811,0
09/11/2022,0.873209,0
08/11/2022,0.873623,0
07/11/2022,0.86999,0
04/11/2022,0.864139,0
03/11/2022,0.86925,0
02/11/2022,0.8711,0
