Data,Kurs ?redni,Zmiana
21/07/2023,4.6156,-0.26
20/07/2023,4.6276,0.35
19/07/2023,4.6113,0.44
18/07/2023,4.5913,-0.43
17/07/2023,4.6113,-0.17
14/07/2023,4.6193,0.36
13/07/2023,4.6028,0.17
12/07/2023,4.5948,0.37
11/07/2023,4.5779,0.2
10/07/2023,4.5688,-0.63
07/07/2023,4.5978,0.18
06/07/2023,4.5894,0.84
05/07/2023,4.5511,0.34
04/07/2023,4.5359,0.16
03/07/2023,4.5288,-0.6
30/06/2023,4.5562,0.07
29/06/2023,4.5531,0.05
28/06/2023,4.5508,0.59
27/06/2023,4.5243,-0.41
26/06/2023,4.543,0.04
23/06/2023,4.5414,0.68
22/06/2023,4.5109,-0.48
21/06/2023,4.5326,0.17
20/06/2023,4.5248,-0.48
19/06/2023,4.5464,-0.52
16/06/2023,4.57,0.18
15/06/2023,4.5618,-0.35
14/06/2023,4.5779,-0.05
13/06/2023,4.5802,0.39
12/06/2023,4.5623,-1.11
09/06/2023,4.6136,-0.16
07/06/2023,4.6211,-0.19
06/06/2023,4.6298,0.56
05/06/2023,4.6041,-0.63
02/06/2023,4.6332,-0.52
01/06/2023,4.6572,-0.3
31/05/2023,4.671,0.05
30/05/2023,4.6688,-0.15
29/05/2023,4.6758,0.27
26/05/2023,4.6634,0.58
25/05/2023,4.6363,0.6
24/05/2023,4.6087,-0.46
23/05/2023,4.6298,-0.97
22/05/2023,4.6753,0.39
19/05/2023,4.6571,0.01
18/05/2023,4.6568,1.03
17/05/2023,4.6095,-0.18
16/05/2023,4.6176,-0.14
15/05/2023,4.624,-0.97
12/05/2023,4.6693,0.88
11/05/2023,4.6284,-0.75
10/05/2023,4.6633,-0.01
09/05/2023,4.6637,0.14
08/05/2023,4.6572,-0.17
05/05/2023,4.6652,-0.3
04/05/2023,4.6792,0.51
02/05/2023,4.6555,-0.14
28/04/2023,4.6619,0.15
27/04/2023,4.655,-0.33
26/04/2023,4.6702,-0.62
25/04/2023,4.6993,-0.26
24/04/2023,4.7116,0.23
21/04/2023,4.701,0.2
20/04/2023,4.6914,-0.23
19/04/2023,4.7023,-0.02
18/04/2023,4.7031,-0.4
17/04/2023,4.7222,-0.24
14/04/2023,4.7334,-0.06
13/04/2023,4.7361,0.13
12/04/2023,4.7301,-0.35
11/04/2023,4.7467,-0.04
07/04/2023,4.7486,-0.18
06/04/2023,4.757,0.7
05/04/2023,4.724,0.53
04/04/2023,4.6989,-0.09
03/04/2023,4.7033,0.38
31/03/2023,4.6856,-0.26
30/03/2023,4.698,-0.07
29/03/2023,4.7012,-0.41
28/03/2023,4.7205,-0.62
27/03/2023,4.75,-0.26
24/03/2023,4.7623,1.39
23/03/2023,4.697,-0.39
22/03/2023,4.7154,-0.03
21/03/2023,4.7167,-0.65
20/03/2023,4.7477,-0.53
17/03/2023,4.7728,0.02
16/03/2023,4.7718,-0.46
15/03/2023,4.7938,-0.2
14/03/2023,4.8035,-0.04
13/03/2023,4.8054,1
10/03/2023,4.7578,0.55
09/03/2023,4.7319,-0.05
08/03/2023,4.7342,0.39
07/03/2023,4.7156,-0.52
06/03/2023,4.7402,0.26
03/03/2023,4.728,1.15
02/03/2023,4.6743,-0.61
01/03/2023,4.7031,-0.83
28/02/2023,4.7424,-0.13
27/02/2023,4.7487,-0.55
24/02/2023,4.7749,-0.7
23/02/2023,4.8085,-0.19
22/02/2023,4.8176,0.03
21/02/2023,4.816,-0.05
20/02/2023,4.8185,0.09
17/02/2023,4.8144,-0.42
16/02/2023,4.8349,0.51
15/02/2023,4.8105,-0.85
14/02/2023,4.8519,-0.13
13/02/2023,4.8582,0.62
10/02/2023,4.8283,0.77
09/02/2023,4.7912,-0.19
08/02/2023,4.8004,0.31
07/02/2023,4.7856,0.84
06/02/2023,4.7458,0.93
03/02/2023,4.7023,-0.26
02/02/2023,4.7147,-0.16
01/02/2023,4.7222,0.65
31/01/2023,4.6918,-0.29
30/01/2023,4.7054,0.2
27/01/2023,4.6961,-0.38
26/01/2023,4.7142,0.58
25/01/2023,4.687,-0.31
24/01/2023,4.7014,-0.22
23/01/2023,4.7118,-0.34
20/01/2023,4.7281,-0.33
19/01/2023,4.7437,-0.03
18/01/2023,4.7449,0.94
17/01/2023,4.7005,0.1
16/01/2023,4.6959,0.77
13/01/2023,4.66,-0.37
12/01/2023,4.6773,-1.04
11/01/2023,4.7266,-0.54
10/01/2023,4.7525,-0.17
09/01/2023,4.7606,0.36
05/01/2023,4.7437,-0.04
04/01/2023,4.7454,0.24
03/01/2023,4.7342,-0.08
02/01/2023,4.7379,-0.63
30/12/2022,4.7679,-0.1
29/12/2022,4.7725,0.61
28/12/2022,4.7438,0.86
27/12/2022,4.7035,0.23
23/12/2022,4.6925,-0.91
22/12/2022,4.7358,-0.18
21/12/2022,4.7443,-0.17
20/12/2022,4.7524,0.15
19/12/2022,4.7453,-0.23
16/12/2022,4.7564,0.17
15/12/2022,4.7482,0.09
14/12/2022,4.7439,-0.24
13/12/2022,4.7551,-0.15
12/12/2022,4.7624,0.32
09/12/2022,4.7474,-0.05
08/12/2022,4.7496,-0.24
07/12/2022,4.7608,0.29
06/12/2022,4.7472,-0.15
05/12/2022,4.7542,-0.07
02/12/2022,4.7576,-0.01
01/12/2022,4.758,0.34
30/11/2022,4.7421,-0.06
29/11/2022,4.7449,-0.22
28/11/2022,4.7555,-0.36
25/11/2022,4.7729,-0.17
24/11/2022,4.7808,0
23/11/2022,4.7807,-0.35
22/11/2022,4.7977,0.07
21/11/2022,4.7944,0.56
18/11/2022,4.7675,-0.49
17/11/2022,4.7909,0.04
16/11/2022,4.7888,-0.36
15/11/2022,4.8059,0.17
14/11/2022,4.7977,0.15
10/11/2022,4.7905,0.92
09/11/2022,4.7467,0.11
08/11/2022,4.7417,0.23
07/11/2022,4.731,-0.45
04/11/2022,4.7523,-0.36
03/11/2022,4.7697,0.09
02/11/2022,4.7656,0.59
31/10/2022,4.7376,-0.69
28/10/2022,4.7705,-0.19
27/10/2022,4.7798,-0.84
26/10/2022,4.8203,-0.32
25/10/2022,4.8359,-0.52
24/10/2022,4.8612,0.19
21/10/2022,4.852,-0.4
20/10/2022,4.8717,-0.37
19/10/2022,4.8899,-0.39
18/10/2022,4.9091,-0.61
17/10/2022,4.9392,-0.27
14/10/2022,4.9526,-0.88
13/10/2022,4.9964,-0.53
12/10/2022,5.0231,0.1
11/10/2022,5.0179,-0.38
10/10/2022,5.0372,0.61
07/10/2022,5.0065,0.38
06/10/2022,4.9874,1.17
05/10/2022,4.9299,0.17
04/10/2022,4.9215,-1.19
03/10/2022,4.9806,-1.79
30/09/2022,5.0714,-0.95
29/09/2022,5.12,0.97
28/09/2022,5.071,1.15
27/09/2022,5.0135,0.58
26/09/2022,4.9846,0.29
23/09/2022,4.9701,0.16
22/09/2022,4.9621,-0.13
21/09/2022,4.9687,1.88
20/09/2022,4.8772,-0.19
19/09/2022,4.8864,-0.55
16/09/2022,4.9134,-0.01
15/09/2022,4.9137,-0.08
14/09/2022,4.9174,0.87
13/09/2022,4.8752,0.67
12/09/2022,4.8428,-0.54
09/09/2022,4.8693,0.53
08/09/2022,4.8438,0.05
07/09/2022,4.8413,0.21
06/09/2022,4.8311,-0.36
05/09/2022,4.8487,0.52
02/09/2022,4.8237,0.26
01/09/2022,4.8112,-0.73
31/08/2022,4.8467,-0.44
30/08/2022,4.8679,-1.34
29/08/2022,4.9342,0.3
26/08/2022,4.9196,-0.44
25/08/2022,4.9415,-1
24/08/2022,4.9916,0.44
23/08/2022,4.9696,0.51
22/08/2022,4.9444,0.58
19/08/2022,4.9159,0.87
18/08/2022,4.8733,0.48
17/08/2022,4.85,-0.58
16/08/2022,4.8784,0.96
12/08/2022,4.8318,0.38
11/08/2022,4.8134,-0.66
10/08/2022,4.8454,0.45
09/08/2022,4.8239,0.21
08/08/2022,4.8137,-0.03
05/08/2022,4.8153,-0.15
04/08/2022,4.8226,0.21
03/08/2022,4.8127,-0.4
02/08/2022,4.8322,-0.84
01/08/2022,4.873,0.1
29/07/2022,4.8682,-0.73
28/07/2022,4.904,0
27/07/2022,4.9039,2.29
26/07/2022,4.7943,0.05
25/07/2022,4.7917,-1.16
22/07/2022,4.8479,0.98
21/07/2022,4.8008,0.05
20/07/2022,4.7982,-0.11
19/07/2022,4.8036,-0.73
18/07/2022,4.8387,-1.11
15/07/2022,4.893,-0.21
14/07/2022,4.9035,-0.47
13/07/2022,4.9269,0.49
12/07/2022,4.9031,1.28
11/07/2022,4.8409,-0.25
08/07/2022,4.8528,0.23
07/07/2022,4.8418,0.27
06/07/2022,4.8287,1.36
05/07/2022,4.7641,1.56
04/07/2022,4.6911,-0.35
01/07/2022,4.7075,0.36
30/06/2022,4.6904,0.63
29/06/2022,4.6611,0.21
28/06/2022,4.6513,0.43
27/06/2022,4.6314,-0.48
24/06/2022,4.6538,0.35
23/06/2022,4.6375,1.22
22/06/2022,4.5818,0.67
21/06/2022,4.5511,-1.05
20/06/2022,4.5993,-0.5
17/06/2022,4.6223,3.7
15/06/2022,4.4574,-0.87
14/06/2022,4.4967,0.84
13/06/2022,4.4594,0.68
10/06/2022,4.4292,1.36
09/06/2022,4.3696,-0.31
08/06/2022,4.3834,-0.38
07/06/2022,4.4,-0.93
06/06/2022,4.4412,-0.3
03/06/2022,4.4547,-0.32
02/06/2022,4.4689,0.35
01/06/2022,4.4531,0.32
31/05/2022,4.4387,-0.35
30/05/2022,4.4544,-0.6
27/05/2022,4.4814,-0.42
26/05/2022,4.5003,0.62
25/05/2022,4.4727,0.01
24/05/2022,4.4723,-0.07
23/05/2022,4.4755,-0.68
20/05/2022,4.5061,-0.53
19/05/2022,4.5303,2.05
18/05/2022,4.4395,-0.33
17/05/2022,4.4542,-0.09
16/05/2022,4.4582,-0.58
13/05/2022,4.4843,-0.39
12/05/2022,4.502,0.72
11/05/2022,4.47,0.39
10/05/2022,4.4528,-1.21
09/05/2022,4.5074,-0.27
06/05/2022,4.5196,0.45
05/05/2022,4.4995,-0.75
04/05/2022,4.5333,-0.93
02/05/2022,4.576,0.56
29/04/2022,4.5504,-0.91
28/04/2022,4.5921,-0.26
27/04/2022,4.6042,1.65
26/04/2022,4.5294,0.55
25/04/2022,4.5047,0.26
22/04/2022,4.493,0.04
21/04/2022,4.4913,-0.3
20/04/2022,4.5049,-0.62
19/04/2022,4.533,-0.36
