Data,Kurs ?redni,Zmiana
24/07/2023,4.63,-0.003
21/07/2023,4.616,0
20/07/2023,4.629,0.001
19/07/2023,4.618,0
18/07/2023,4.592,0
17/07/2023,4.604,0
14/07/2023,4.608,0
13/07/2023,4.595,0
12/07/2023,4.584,0
11/07/2023,4.56,-0.001
10/07/2023,4.567,-0.001
07/07/2023,4.597,0
06/07/2023,4.576,0
05/07/2023,4.544,0
04/07/2023,4.535,0
03/07/2023,4.54,0
30/06/2023,4.545,0.002
29/06/2023,4.568,0.007
28/06/2023,4.541,0
27/06/2023,4.542,-0.001
26/06/2023,4.542,0
23/06/2023,4.51,0
22/06/2023,4.517,-0.004
21/06/2023,4.532,0
20/06/2023,4.545,-0.001
19/06/2023,4.565,0
16/06/2023,4.559,0
15/06/2023,4.558,-0.001
14/06/2023,4.592,0
13/06/2023,4.547,0
12/06/2023,4.574,0
09/06/2023,4.614,0
08/06/2023,4.607,0
07/06/2023,4.61,0.001
06/06/2023,4.611,0.001
05/06/2023,4.615,-0.001
02/06/2023,4.634,0
01/06/2023,4.651,-0.001
31/05/2023,4.664,0
30/05/2023,4.664,0.001
29/05/2023,4.661,0
26/05/2023,4.637,0
25/05/2023,4.634,0
24/05/2023,4.622,-0.001
23/05/2023,4.634,0
22/05/2023,4.673,0
19/05/2023,4.662,0
18/05/2023,4.641,0
17/05/2023,4.613,0
16/05/2023,4.627,0
15/05/2023,4.63,0.001
12/05/2023,4.65,0
11/05/2023,4.624,-0.001
10/05/2023,4.664,0
09/05/2023,4.659,0.001
08/05/2023,4.656,0
05/05/2023,4.701,0
04/05/2023,4.691,0
03/05/2023,4.658,0
02/05/2023,4.684,0.001
01/05/2023,4.658,-0.001
28/04/2023,4.638,0.001
27/04/2023,4.658,-0.001
26/04/2023,4.692,0
25/04/2023,4.689,0
24/04/2023,4.704,0
21/04/2023,4.695,0.001
20/04/2023,4.701,0.001
19/04/2023,4.699,-0.001
18/04/2023,4.717,-0.001
17/04/2023,4.721,0
14/04/2023,4.715,-0.001
13/04/2023,4.721,-0.003
12/04/2023,4.734,0
11/04/2023,4.744,0
10/04/2023,4.739,0
07/04/2023,4.742,-0.002
06/04/2023,4.739,0
05/04/2023,4.712,0
04/04/2023,4.694,0
03/04/2023,4.712,0.001
31/03/2023,4.691,0.001
30/03/2023,4.706,0
29/03/2023,4.684,-0.003
28/03/2023,4.736,-0.002
27/03/2023,4.728,-0.001
24/03/2023,4.713,-0.001
23/03/2023,4.7,0
22/03/2023,4.716,0.002
21/03/2023,4.715,-0.001
20/03/2023,4.749,0.001
17/03/2023,4.761,0
16/03/2023,4.769,0
15/03/2023,4.795,0
14/03/2023,4.781,0
13/03/2023,4.765,0.002
10/03/2023,4.744,0.001
09/03/2023,4.711,0.006
08/03/2023,4.717,0
07/03/2023,4.714,0
06/03/2023,4.726,0
03/03/2023,4.704,0
02/03/2023,4.656,0.004
01/03/2023,4.722,-0.001
28/02/2023,4.747,0
27/02/2023,4.753,0
24/02/2023,4.773,-0.002
23/02/2023,4.801,0.006
22/02/2023,4.805,0
21/02/2023,4.805,0
20/02/2023,4.814,0.001
17/02/2023,4.825,-0.001
16/02/2023,4.823,-0.002
15/02/2023,4.825,0
14/02/2023,4.853,0
13/02/2023,4.827,0.003
10/02/2023,4.798,-0.003
09/02/2023,4.8,0.003
08/02/2023,4.8,0
07/02/2023,4.762,0
06/02/2023,4.711,-0.001
03/02/2023,4.7,-0.001
02/02/2023,4.705,0
01/02/2023,4.727,-0.005
31/01/2023,4.69,0
