Data,Kurs ?redni,Zmiana
20/07/2023,17.7,-0.23
19/07/2023,17.74,-0.34
18/07/2023,17.8,0.91
17/07/2023,17.64,1.61
14/07/2023,17.36,0.93
13/07/2023,17.2,-1.77
12/07/2023,17.51,3.86
11/07/2023,16.86,0.78
10/07/2023,16.73,1.39
07/07/2023,16.5,-3.06
06/07/2023,17.02,1.01
05/07/2023,16.85,-0.59
04/07/2023,16.95,-0.94
03/07/2023,17.11,-0.23
30/06/2023,17.15,0.88
29/06/2023,17,-5.56
28/06/2023,18,0.28
27/06/2023,17.95,-0.11
26/06/2023,17.97,-1.05
23/06/2023,18.16,-0.22
22/06/2023,18.2,1.17
21/06/2023,17.99,0.78
20/06/2023,17.85,0
19/06/2023,17.85,0.28
16/06/2023,17.8,-0.11
15/06/2023,17.82,2.3
14/06/2023,17.42,-0.4
13/06/2023,17.49,-0.74
12/06/2023,17.62,-2.38
09/06/2023,18.05,0.5
07/06/2023,17.96,-1.05
06/06/2023,18.15,0.17
05/06/2023,18.12,-0.77
02/06/2023,18.26,2.47
01/06/2023,17.82,6.83
31/05/2023,16.68,-2.91
30/05/2023,17.18,0.88
29/05/2023,17.03,-0.64
26/05/2023,17.14,0.23
25/05/2023,17.1,-2.56
24/05/2023,17.55,-0.34
23/05/2023,17.61,-3.98
22/05/2023,18.34,1.21
19/05/2023,18.12,2.95
18/05/2023,17.6,-2
17/05/2023,17.96,-0.44
16/05/2023,18.04,-1.8
15/05/2023,18.37,5.27
12/05/2023,17.45,-10.42
11/05/2023,19.48,1.99
10/05/2023,19.1,0
09/05/2023,19.1,-0.73
08/05/2023,19.24,4.85
05/05/2023,18.35,2
04/05/2023,17.99,-3.49
02/05/2023,18.64,-1.74
28/04/2023,18.97,0
27/04/2023,18.97,4.17
26/04/2023,18.21,2.36
25/04/2023,17.79,-2.31
24/04/2023,18.21,-2.36
21/04/2023,18.65,0.97
20/04/2023,18.47,3.82
19/04/2023,17.79,-3.52
18/04/2023,18.44,-0.16
17/04/2023,18.47,-0.65
14/04/2023,18.59,-0.85
13/04/2023,18.75,-0.05
12/04/2023,18.76,0.75
11/04/2023,18.62,-0.96
06/04/2023,18.8,-0.21
05/04/2023,18.84,-0.84
04/04/2023,19,2.7
03/04/2023,18.5,-0.86
31/03/2023,18.66,0.86
30/03/2023,18.5,7.56
29/03/2023,17.2,7.57
28/03/2023,15.99,17.49
27/03/2023,13.61,2.72
24/03/2023,13.25,-0.6
23/03/2023,13.33,-3.41
22/03/2023,13.8,-1.29
21/03/2023,13.98,2.27
20/03/2023,13.67,1.94
17/03/2023,13.41,-5.23
16/03/2023,14.15,-0.7
15/03/2023,14.25,-2.33
14/03/2023,14.59,1.04
13/03/2023,14.44,-0.41
10/03/2023,14.5,-2.88
09/03/2023,14.93,0.81
08/03/2023,14.81,-0.2
07/03/2023,14.84,-2.37
06/03/2023,15.2,3.05
03/03/2023,14.75,-0.61
01/03/2023,14.84,-0.67
28/02/2023,14.94,1.01
27/02/2023,14.79,1.09
24/02/2023,14.63,0.9
23/02/2023,14.5,0.42
22/02/2023,14.44,0.42
21/02/2023,14.38,-2.31
20/02/2023,14.72,-1.74
17/02/2023,14.98,-0.66
16/02/2023,15.08,1.21
15/02/2023,14.9,0.07
14/02/2023,14.89,0
13/02/2023,14.89,-0.53
10/02/2023,14.97,-1.84
09/02/2023,15.25,0.79
08/02/2023,15.13,0.4
07/02/2023,15.07,0.67
06/02/2023,14.97,1.84
03/02/2023,14.7,0
02/02/2023,14.7,1.52
01/02/2023,14.48,-2.69
31/01/2023,14.88,4.42
30/01/2023,14.25,-2.13
27/01/2023,14.56,-0.61
26/01/2023,14.65,-0.54
25/01/2023,14.73,-0.47
24/01/2023,14.8,-1.79
23/01/2023,15.07,-0.26
20/01/2023,15.11,2.86
19/01/2023,14.69,0.27
18/01/2023,14.65,-0.88
17/01/2023,14.78,1.65
16/01/2023,14.54,-1.16
13/01/2023,14.71,0.2
12/01/2023,14.68,-0.68
11/01/2023,14.78,-2.12
10/01/2023,15.1,0.07
09/01/2023,15.09,3
05/01/2023,14.65,-0.34
04/01/2023,14.7,0
03/01/2023,14.7,7.14
02/01/2023,13.72,0.88
30/12/2022,13.6,1.27
29/12/2022,13.43,2.05
28/12/2022,13.16,-1.2
27/12/2022,13.32,-0.97
23/12/2022,13.45,0
22/12/2022,13.45,-1.47
21/12/2022,13.65,2.55
20/12/2022,13.31,-0.6
19/12/2022,13.39,2.06
16/12/2022,13.12,-1.94
15/12/2022,13.38,-2.83
14/12/2022,13.77,-0.58
13/12/2022,13.85,0.95
12/12/2022,13.72,2.08
09/12/2022,13.44,-1.03
08/12/2022,13.58,2.11
07/12/2022,13.3,0
