Data,Kurs ?redni,Zmiana
24/07/2023,1.654,0
24/07/2023,1.642,0
21/07/2023,1.643,0
20/07/2023,1.655,0
19/07/2023,1.648,0
18/07/2023,1.65,0
17/07/2023,1.642,0
14/07/2023,1.629,0
13/07/2023,1.64,0
12/07/2023,1.645,0
11/07/2023,1.648,0
10/07/2023,1.64,0
07/07/2023,1.643,0
06/07/2023,1.631,0
05/07/2023,1.626,0
04/07/2023,1.635,0
03/07/2023,1.638,0
30/06/2023,1.642,0
29/06/2023,1.654,0
28/06/2023,1.64,0
27/06/2023,1.635,0
26/06/2023,1.633,0
23/06/2023,1.621,0
22/06/2023,1.617,0
21/06/2023,1.609,0
20/06/2023,1.594,0
19/06/2023,1.591,0
16/06/2023,1.591,0
15/06/2023,1.595,0
14/06/2023,1.594,0
13/06/2023,1.594,0
12/06/2023,1.594,0
09/06/2023,1.606,0
08/06/2023,1.608,0
07/06/2023,1.602,0
06/06/2023,1.62,0
05/06/2023,1.621,0
02/06/2023,1.636,0
01/06/2023,1.643,0
31/05/2023,1.646,0
30/05/2023,1.64,0
29/05/2023,1.643,0
26/05/2023,1.65,0
25/05/2023,1.643,0
24/05/2023,1.628,0
23/05/2023,1.626,0
22/05/2023,1.625,0
19/05/2023,1.626,0
18/05/2023,1.628,0
17/05/2023,1.632,0
16/05/2023,1.622,0
15/05/2023,1.633,0
12/05/2023,1.629,0
11/05/2023,1.619,0
10/05/2023,1.62,0
09/05/2023,1.621,0
08/05/2023,1.633,0
05/05/2023,1.646,0
04/05/2023,1.667,0
03/05/2023,1.651,0
02/05/2023,1.656,0
01/05/2023,1.665,0
28/04/2023,1.664,0
27/04/2023,1.671,0
26/04/2023,1.654,0
25/04/2023,1.649,0
24/04/2023,1.642,0
21/04/2023,1.627,0
20/04/2023,1.633,0
19/04/2023,1.629,0
18/04/2023,1.631,0
17/04/2023,1.638,0
14/04/2023,1.629,0
13/04/2023,1.642,0
12/04/2023,1.641,0
11/04/2023,1.635,0
10/04/2023,1.635,0
07/04/2023,1.636,0
06/04/2023,1.623,0
05/04/2023,1.621,0
04/04/2023,1.607,0
03/04/2023,1.622,0
31/03/2023,1.624,0
30/03/2023,1.623,0
29/03/2023,1.616,0
28/03/2023,1.623,0
27/03/2023,1.618,0.002
24/03/2023,1.622,0
23/03/2023,1.623,0
22/03/2023,1.613,0
21/03/2023,1.596,0
20/03/2023,1.591,0
17/03/2023,1.593,0
16/03/2023,1.599,0
15/03/2023,1.604,0
14/03/2023,1.61,0
13/03/2023,1.61,0
10/03/2023,1.607,0
09/03/2023,1.6,0
08/03/2023,1.601,0
07/03/2023,1.587,0
06/03/2023,1.573,0
03/03/2023,1.574,0
02/03/2023,1.578,0
01/03/2023,1.571,0
28/02/2023,1.573,0
27/02/2023,1.567,0
