Date,Kurs ?redni,Zmiana
21/07/2023,1.1143305,0.00359
20/07/2023,1.121744,0.00965
19/07/2023,1.1234315,0.00634
18/07/2023,1.125667,0.00557
17/07/2023,1.1239445,0.00456
14/07/2023,1.1234135,0.00387
13/07/2023,1.1170375,0.00656
12/07/2023,1.1070005,0.01131
11/07/2023,1.101577,0.0047
10/07/2023,1.098124,0.00482
07/07/2023,1.0927655,0.00961
06/07/2023,1.087907,0.00672
05/07/2023,1.0895575,0.00411
04/07/2023,1.091566,0.00275
03/07/2023,1.0919425,0.00595
30/06/2023,1.0900885,0.00973
29/06/2023,1.092826,0.00783
28/06/2023,1.0959865,0.00629
27/06/2023,1.094329,0.00729
26/06/2023,1.0914235,0.00336
23/06/2023,1.09589,0.01139
22/06/2023,1.1001895,0.00601
21/06/2023,1.094084,0.00546
20/06/2023,1.0934765,0.00507
19/06/2023,1.0945715,0.00383
16/06/2023,1.0958475,0.00509
15/06/2023,1.089079,0.01343
14/06/2023,1.082385,0.00826
13/06/2023,1.079275,0.0062
12/06/2023,1.0770325,0.00554
09/06/2023,1.0785105,0.00398
08/06/2023,1.0745135,0.00807
07/06/2023,1.0719135,0.00714
06/06/2023,1.0722435,0.00657
05/06/2023,1.0710665,0.0048
02/06/2023,1.077007,0.00612
01/06/2023,1.0724595,0.00898
31/05/2023,1.073595,0.00872
30/05/2023,1.0726715,0.00724
29/05/2023,1.073441,0.00395
26/05/2023,1.0740995,0.00555
25/05/2023,1.0755755,0.00442
24/05/2023,1.078454,0.00497
23/05/2023,1.0816195,0.00575
22/05/2023,1.0826735,0.00341
19/05/2023,1.079966,0.00629
18/05/2023,1.0843935,0.00841
17/05/2023,1.0870575,0.00638
16/05/2023,1.088864,0.00469
15/05/2023,1.087238,0.00435
12/05/2023,1.0923665,0.00795
11/05/2023,1.099137,0.00974
10/05/2023,1.09847,0.00619
09/05/2023,1.099862,0.00571
08/05/2023,1.1036035,0.00409
05/05/2023,1.1035465,0.00764
04/05/2023,1.108016,0.01046
03/05/2023,1.1034535,0.00522
02/05/2023,1.098723,0.00617
01/05/2023,1.1023245,0.00686
28/04/2023,1.1037895,0.00781
27/04/2023,1.105645,0.00714
26/04/2023,1.1036245,0.01249
25/04/2023,1.1063785,0.00988
24/04/2023,1.1013255,0.00655
21/04/2023,1.098172,0.00528
20/04/2023,1.0970595,0.00547
19/04/2023,1.098099,0.00683
18/04/2023,1.095442,0.00607
17/04/2023,1.099282,0.00883
14/04/2023,1.1065015,0.00974
13/04/2023,1.1034445,0.00873
12/04/2023,1.0958035,0.00833
11/04/2023,1.089801,0.00587
10/04/2023,1.09159,0.00857
07/04/2023,1.0922755,0.00443
06/04/2023,1.091675,0.00446
05/04/2023,1.0964675,0.00639
04/04/2023,1.094196,0.00878
03/04/2023,1.085953,0.01264
31/03/2023,1.0915255,0.00653
30/03/2023,1.088379,0.0097
29/03/2023,1.085576,0.00507
28/03/2023,1.0828035,0.0045
27/03/2023,1.0787095,0.00479
24/03/2023,1.083703,0.01201
23/03/2023,1.0899695,0.00604
22/03/2023,1.0787855,0.0042
21/03/2023,1.07532,0.00823
20/03/2023,1.0704695,0.00981
17/03/2023,1.064188,0.00575
16/03/2023,1.0608955,0.00795
15/03/2023,1.0743875,0.02398
14/03/2023,1.0736075,0.00675
13/03/2023,1.0710435,0.00849
10/03/2023,1.064166,0.01229
09/03/2023,1.056801,0.0048
08/03/2023,1.0562015,0.00466
07/03/2023,1.069233,0.01247
06/03/2023,1.0660005,0.00708
03/03/2023,1.061449,0.00379
02/03/2023,1.067082,0.00892
01/03/2023,1.063419,0.01254
28/02/2023,1.0628105,0.00626
27/02/2023,1.05867,0.00851
24/02/2023,1.060615,0.00765
23/02/2023,1.061809,0.00484
22/02/2023,1.065877,0.00464
21/02/2023,1.068913,0.00508
20/02/2023,1.0694965,0.00339
17/02/2023,1.067362,0.00677
16/02/2023,1.0707005,0.00665
15/02/2023,1.074016,0.00786
14/02/2023,1.076443,0.00885
13/02/2023,1.070136,0.00678
10/02/2023,1.0747025,0.00825
09/02/2023,1.075311,0.00788
08/02/2023,1.074497,0.00434
07/02/2023,1.073838,0.00765
06/02/2023,1.079558,0.0082
03/02/2023,1.0922905,0.01296
02/02/2023,1.101971,0.01389
01/02/2023,1.089269,0.00715
31/01/2023,1.0859535,0.00642
30/01/2023,1.0893235,0.00604
27/01/2023,1.0897995,0.00627
26/01/2023,1.0927295,0.00809
25/01/2023,1.090539,0.00645
24/01/2023,1.088555,0.00575
23/01/2023,1.0892125,0.0072
20/01/2023,1.084523,0.0052
19/01/2023,1.0815455,0.00501
18/01/2023,1.083889,0.01174
17/01/2023,1.084961,0.00821
16/01/2023,1.085005,0.00728
13/01/2023,1.0864015,0.00872
12/01/2023,1.0802175,0.01003
11/01/2023,1.0756825,0.00478
10/01/2023,1.0745015,0.00437
09/01/2023,1.0707915,0.01067
06/01/2023,1.0572235,0.0137
05/01/2023,1.0619505,0.01171
04/01/2023,1.058918,0.00855
03/01/2023,1.0680165,0.01611
02/01/2023,1.071105,0.00591
30/12/2022,1.067934,0.00587
29/12/2022,1.064972,0.00579
28/12/2022,1.0655735,0.00604
27/12/2022,1.065461,0.00566
26/12/2022,1.0652485,0.00282
23/12/2022,1.061725,0.00432
22/12/2022,1.063377,0.00734
21/12/2022,1.063525,0.00465
20/12/2022,1.0635055,0.00749
19/12/2022,1.062202,0.00818
16/12/2022,1.0651905,0.00638
15/12/2022,1.070097,0.01182
14/12/2022,1.064825,0.00497
13/12/2022,1.060534,0.01396
12/12/2022,1.0550715,0.00721
09/12/2022,1.057403,0.00684
08/12/2022,1.053819,0.00715
07/12/2022,1.05076,0.01024
06/12/2022,1.05145,0.00551
05/12/2022,1.0569155,0.01017
02/12/2022,1.0536805,0.0111
01/12/2022,1.047838,0.01335
30/11/2022,1.035954,0.01023
29/11/2022,1.0369845,0.00687
28/11/2022,1.0432115,0.01543
25/11/2022,1.0418575,0.00729
24/11/2022,1.043223,0.00646
23/11/2022,1.0346575,0.00839
22/11/2022,1.0267935,0.00468
21/11/2022,1.0332075,0.01062
18/11/2022,1.03788,0.00679
17/11/2022,1.0400365,0.00962
16/11/2022,1.039759,0.01009
15/11/2022,1.039738,0.01616
14/11/2022,1.03394,0.00767
11/11/2022,1.0265295,0.01722
10/11/2022,1.0101265,0.02452
09/11/2022,1.0084815,0.00763
08/11/2022,1.0056405,0.01181
07/11/2022,0.9966905,0.00855
04/11/2022,0.9843905,0.01897
03/11/2022,0.982701,0.01084
02/11/2022,0.989573,0.0046
01/11/2022,0.991897,0.00895
31/10/2022,0.996155,0.00946
28/10/2022,0.99834,0.00675
27/10/2022,1.0093415,0.01184
26/10/2022,1.0022135,0.01359
25/10/2022,0.993093,0.01231
24/10/2022,0.987486,0.00807
21/10/2022,0.981794,0.01497
20/10/2022,0.980581,0.00896
19/10/2022,0.9865435,0.01068
18/10/2022,0.986001,0.0059
17/10/2022,0.979322,0.01226
14/10/2022,0.9777585,0.00943
13/10/2022,0.9751535,0.01591
12/10/2022,0.9716595,0.00633
11/10/2022,0.973408,0.00841
10/10/2022,0.974365,0.00698
07/10/2022,0.980255,0.00843
06/10/2022,0.9918675,0.0137
05/10/2022,0.998926,0.01588
04/10/2022,0.9906105,0.01734
03/10/2022,0.9818475,0.00906
30/09/2022,0.9839775,0.01139
29/09/2022,0.9747745,0.0149
28/09/2022,0.9641225,0.01461
27/09/2022,0.9646885,0.00755
26/09/2022,0.9694905,0.01176
23/09/2022,0.9846885,0.01483
22/09/2022,0.9868455,0.00952
21/09/2022,0.997243,0.01049
20/09/2022,1.003992,0.00932
19/09/2022,1.0025215,0.00613
16/09/2022,1.001197,0.00898
15/09/2022,1.000098,0.00604
14/09/2022,1.000239,0.00591
13/09/2022,1.0158505,0.01917
12/09/2022,1.0134105,0.01321
09/09/2022,1.0062135,0.01029
08/09/2022,1.001239,0.00956
07/09/2022,0.9926575,0.00774
06/09/2022,0.9968775,0.01202
05/09/2022,0.9926475,0.00627
02/09/2022,0.999282,0.00821
01/09/2022,1.004243,0.01284
31/08/2022,1.0051225,0.01057
30/08/2022,1.0033145,0.00688
29/08/2022,0.998489,0.01162
26/08/2022,1.0029775,0.0141
25/08/2022,0.9999845,0.00738
24/08/2022,0.9982555,0.00862
23/08/2022,0.9979255,0.01159
22/08/2022,1.0041725,0.01205
19/08/2022,1.0101075,0.0076
18/08/2022,1.0186935,0.00805
17/08/2022,1.018425,0.00498
16/08/2022,1.0178195,0.0071
15/08/2022,1.026178,0.00849
12/08/2022,1.032205,0.00878
11/08/2022,1.033335,0.00896
10/08/2022,1.028864,0.01661
09/08/2022,1.022229,0.00577
08/08/2022,1.019634,0.00618
05/08/2022,1.024842,0.01054
04/08/2022,1.0195065,0.00765
03/08/2022,1.0181655,0.00844
02/08/2022,1.0277255,0.01094
01/08/2022,1.024287,0.00679
29/07/2022,1.0223055,0.01052
28/07/2022,1.02212,0.01174
27/07/2022,1.0150735,0.00645
26/07/2022,1.0237,0.01351
25/07/2022,1.022832,0.00758
22/07/2022,1.0238115,0.01212
21/07/2022,1.022908,0.01123
20/07/2022,1.0251615,0.0096
19/07/2022,1.0206695,0.01425
18/07/2022,1.01476,0.01165
15/07/2022,1.006181,0.00873
14/07/2022,1.0040975,0.00956
13/07/2022,1.0074675,0.01173
12/07/2022,1.0060685,0.00727
11/07/2022,1.016694,0.01135
08/07/2022,1.018046,0.01113
07/07/2022,1.0202805,0.00659
06/07/2022,1.0265785,0.01117
05/07/2022,1.0440875,0.02113
04/07/2022,1.044874,0.00455
01/07/2022,1.047779,0.0108
30/06/2022,1.0462685,0.00949
29/06/2022,1.0529925,0.00683
28/06/2022,1.0592955,0.00993
27/06/2022,1.059019,0.00634
24/06/2022,1.054463,0.00555
23/06/2022,1.0572395,0.00962
22/06/2022,1.056776,0.0131
21/06/2022,1.055134,0.00676
20/06/2022,1.0518305,0.00588
17/06/2022,1.05493,0.01061
16/06/2022,1.0493255,0.01477
15/06/2022,1.0473885,0.01209
14/06/2022,1.0448775,0.00842
13/06/2022,1.049379,0.00785
10/06/2022,1.063068,0.01344
09/06/2022,1.0743855,0.01229
08/06/2022,1.072346,0.0075
07/06/2022,1.070017,0.00561
06/06/2022,1.073937,0.00666
03/06/2022,1.0758245,0.00588
02/06/2022,1.069633,0.00928
01/06/2022,1.0735375,0.01049
31/05/2022,1.0774235,0.00928
30/05/2022,1.075831,0.00577
27/05/2022,1.074901,0.0067
26/05/2022,1.070765,0.00642
25/05/2022,1.073653,0.00925
24/05/2022,1.071419,0.00843
23/05/2022,1.0630045,0.01216
20/05/2022,1.058891,0.00578
19/05/2022,1.0535395,0.0132
18/05/2022,1.055599,0.00717
17/05/2022,1.049636,0.01213
16/05/2022,1.0419305,0.00466
13/05/2022,1.039948,0.00674
12/05/2022,1.0521115,0.01562
11/05/2022,1.05543,0.00686
10/05/2022,1.057581,0.00585
09/05/2022,1.055218,0.00756
06/05/2022,1.0569065,0.0113
05/05/2022,1.063124,0.01354
04/05/2022,1.0547445,0.00598
03/05/2022,1.0543355,0.00833
02/05/2022,1.055183,0.00637
29/04/2022,1.054731,0.0085
28/04/2022,1.055866,0.00894
27/04/2022,1.065003,0.01398
26/04/2022,1.072652,0.00942
25/04/2022,1.081163,0.01119
22/04/2022,1.0844705,0.00814
21/04/2022,1.0892285,0.01103
20/04/2022,1.0830835,0.00824
19/04/2022,1.0796945,0.00501
18/04/2022,1.0815545,0.00322
15/04/2022,1.082222,0.00247
14/04/2022,1.09096,0.0164
13/04/2022,1.084998,0.00635
12/04/2022,1.089095,0.00521
11/04/2022,1.090887,0.00581
08/04/2022,1.087839,0.0055
07/04/2022,1.0916645,0.00679
06/04/2022,1.092194,0.00617
05/04/2022,1.0983645,0.00701
04/04/2022,1.1052165,0.00761
01/04/2022,1.107389,0.00457
31/03/2022,1.117245,0.01091
30/03/2022,1.113076,0.00809
29/03/2022,1.1065095,0.01659
28/03/2022,1.0989315,0.00514
25/03/2022,1.102386,0.00558
24/03/2022,1.1009825,0.00434
23/03/2022,1.103605,0.00762
22/03/2022,1.1031035,0.00842
21/03/2022,1.105444,0.00406
18/03/2022,1.1108405,0.01126
17/03/2022,1.1066465,0.00893
16/03/2022,1.1003035,0.0083
15/03/2022,1.098183,0.00788
14/03/2022,1.0959755,0.00844
11/03/2022,1.102702,0.01072
10/03/2022,1.1094755,0.0134
09/03/2022,1.0996,0.01933
08/03/2022,1.0895865,0.0071
07/03/2022,1.0902345,0.01222
04/03/2022,1.106929,0.01793
03/03/2022,1.1114815,0.00762
02/03/2022,1.113648,0.00834
01/03/2022,1.1223415,0.01301
28/02/2022,1.12128,0.01014
25/02/2022,1.1228445,0.0098
24/02/2022,1.130595,0.01955
23/02/2022,1.1345155,0.00524
22/02/2022,1.1336715,0.00747
21/02/2022,1.1351485,0.00715
18/02/2022,1.137029,0.00609
17/02/2022,1.138013,0.00593
16/02/2022,1.1374395,0.00477
15/02/2022,1.133744,0.0063
14/02/2022,1.136738,0.00761
11/02/2022,1.141538,0.00477
10/02/2022,1.1457755,0.01134
09/02/2022,1.1434065,0.00437
08/02/2022,1.144584,0.00538
07/02/2022,1.145731,0.00433
04/02/2022,1.14594,0.00703
03/02/2022,1.137532,0.01786
02/02/2022,1.130123,0.00624
01/02/2022,1.125409,0.0057
31/01/2022,1.118415,0.00719
28/01/2022,1.115811,0.00467
27/01/2022,1.1243535,0.01113
26/01/2022,1.130851,0.00415
25/01/2022,1.132445,0.00582
24/01/2022,1.134095,0.00496
21/01/2022,1.1338235,0.00588
20/01/2022,1.135623,0.00388
19/01/2022,1.1343415,0.00373
18/01/2022,1.1418135,0.00937
17/01/2022,1.142336,0.00414
14/01/2022,1.147014,0.00736
13/01/2022,1.1459445,0.00427
12/01/2022,1.140155,0.00772
11/01/2022,1.1350865,0.00535
10/01/2022,1.13566,0.00714
07/01/2022,1.132781,0.00693
06/01/2022,1.1321445,0.00451
05/01/2022,1.13155,0.0068
04/01/2022,1.1312495,0.00496
03/01/2022,1.1374885,0.00905
31/12/2021,1.135119,0.00741
30/12/2021,1.135976,0.00591
29/12/2021,1.134169,0.00946
28/12/2021,1.133289,0.00456
27/12/2021,1.1329435,0.00308
24/12/2021,1.133447,0.00359
23/12/2021,1.1337875,0.00541
22/12/2021,1.131625,0.00767
21/12/2021,1.129001,0.00415
20/12/2021,1.127353,0.00672
17/12/2021,1.1342245,0.00807
16/12/2021,1.1328345,0.00815
15/12/2021,1.1268365,0.00288
14/12/2021,1.130548,0.0061
13/12/2021,1.1313625,0.00525
10/12/2021,1.1308335,0.00552
09/12/2021,1.1344815,0.00662
08/12/2021,1.130605,0.00694
07/12/2021,1.1291975,0.00681
06/12/2021,1.1306315,0.0041
