Data,Kurs ?redni,Zmiana
24/07/2023,1.911,0
24/07/2023,1.903,-0.001
21/07/2023,1.899,0
20/07/2023,1.911,0
19/07/2023,1.913,0
18/07/2023,1.919,0
17/07/2023,1.914,0
14/07/2023,1.906,0
13/07/2023,1.913,0
12/07/2023,1.933,0
11/07/2023,1.927,0
10/07/2023,1.92,0
07/07/2023,1.922,0
06/07/2023,1.909,0
05/07/2023,1.9,0
04/07/2023,1.902,0
03/07/2023,1.906,0
30/06/2023,1.906,0
29/06/2023,1.915,0
28/06/2023,1.907,0
27/06/2023,1.904,0
26/06/2023,1.905,0
23/06/2023,1.885,0
22/06/2023,1.878,0
21/06/2023,1.88,0
20/06/2023,1.867,0
19/06/2023,1.867,0
16/06/2023,1.858,0
15/06/2023,1.864,0
14/06/2023,1.862,0
13/06/2023,1.853,0
12/06/2023,1.865,0
09/06/2023,1.871,0
08/06/2023,1.869,0
07/06/2023,1.861,0
06/06/2023,1.88,0
05/06/2023,1.884,0
02/06/2023,1.904,0
01/06/2023,1.913,0
31/05/2023,1.904,0
30/05/2023,1.891,0
29/05/2023,1.892,0
26/05/2023,1.895,0
25/05/2023,1.89,0
24/05/2023,1.877,0
23/05/2023,1.87,0
22/05/2023,1.871,0
19/05/2023,1.873,0
18/05/2023,1.875,0
17/05/2023,1.875,0
16/05/2023,1.869,0
15/05/2023,1.873,0
12/05/2023,1.867,0
11/05/2023,1.862,0
10/05/2023,1.866,0
09/05/2023,1.86,0
08/05/2023,1.872,0
05/05/2023,1.879,0
04/05/2023,1.892,0
03/05/2023,1.87,0
02/05/2023,1.885,0
01/05/2023,1.899,0
28/04/2023,1.885,0
27/04/2023,1.887,0
26/04/2023,1.871,0
25/04/2023,1.864,0
24/04/2023,1.86,0
21/04/2023,1.845,0
20/04/2023,1.853,0
19/04/2023,1.845,0
18/04/2023,1.847,0
17/04/2023,1.849,0
14/04/2023,1.846,0
13/04/2023,1.865,0
12/04/2023,1.868,0
11/04/2023,1.864,0
10/04/2023,1.863,0
07/04/2023,1.863,0
06/04/2023,1.855,0
05/04/2023,1.849,0
04/04/2023,1.83,0
03/04/2023,1.845,0
31/03/2023,1.844,0
30/03/2023,1.842,0
29/03/2023,1.838,0
28/03/2023,1.846,0
27/03/2023,1.839,0.002
24/03/2023,1.838,0
23/03/2023,1.833,0
22/03/2023,1.83,0
21/03/2023,1.827,0
20/03/2023,1.815,0
17/03/2023,1.817,0
16/03/2023,1.823,0
15/03/2023,1.816,0
14/03/2023,1.827,0
13/03/2023,1.82,0
10/03/2023,1.809,0
09/03/2023,1.797,0
08/03/2023,1.795,0
07/03/2023,1.786,0
06/03/2023,1.781,0
03/03/2023,1.775,0
02/03/2023,1.779,0
01/03/2023,1.788,0
28/02/2023,1.789,0
27/02/2023,1.774,0
24/02/2023,1.765,0
23/02/2023,1.768,0
22/02/2023,1.765,0
21/02/2023,1.742,0
20/02/2023,1.751,0
17/02/2023,1.745,0
