Data,Kurs ?redni,Zmiana
24/07/2023,1.285,0
24/07/2023,1.282,0
21/07/2023,1.287,0
20/07/2023,1.294,0
19/07/2023,1.304,0
18/07/2023,1.307,0
17/07/2023,1.309,0
14/07/2023,1.313,0
13/07/2023,1.3,0
12/07/2023,1.293,0
11/07/2023,1.286,0
10/07/2023,1.284,0
07/07/2023,1.274,0
06/07/2023,1.271,0
05/07/2023,1.272,0
04/07/2023,1.269,0
03/07/2023,1.269,0
30/06/2023,1.261,0
29/06/2023,1.264,0
28/06/2023,1.274,0
27/06/2023,1.271,0
26/06/2023,1.273,0
23/06/2023,1.275,0
22/06/2023,1.277,0
21/06/2023,1.277,0
20/06/2023,1.279,0
19/06/2023,1.283,0
16/06/2023,1.279,0
15/06/2023,1.267,0
14/06/2023,1.261,0
13/06/2023,1.252,0
12/06/2023,1.258,0
09/06/2023,1.256,0
08/06/2023,1.245,0
07/06/2023,1.243,0
06/06/2023,1.243,0
05/06/2023,1.243,0
02/06/2023,1.253,0
01/06/2023,1.245,0
31/05/2023,1.241,0
30/05/2023,1.235,0
29/05/2023,1.235,0
26/05/2023,1.232,0
25/05/2023,1.237,0
24/05/2023,1.242,0
23/05/2023,1.244,0
22/05/2023,1.246,0
19/05/2023,1.241,0
18/05/2023,1.248,0
17/05/2023,1.249,0
16/05/2023,1.253,0
15/05/2023,1.245,0
12/05/2023,1.251,0
11/05/2023,1.263,0
10/05/2023,1.263,0
09/05/2023,1.261,0
08/05/2023,1.263,0
05/05/2023,1.258,0
04/05/2023,1.257,0
03/05/2023,1.248,0
02/05/2023,1.249,0
01/05/2023,1.256,0
28/04/2023,1.25,0
27/04/2023,1.247,0
26/04/2023,1.242,0
25/04/2023,1.25,0
24/04/2023,1.245,0
21/04/2023,1.244,0
20/04/2023,1.243,0
19/04/2023,1.243,0
18/04/2023,1.237,0
17/04/2023,1.24,0
14/04/2023,1.252,0
13/04/2023,1.249,0
12/04/2023,1.243,0
11/04/2023,1.239,0
10/04/2023,1.243,0
07/04/2023,1.244,0
06/04/2023,1.246,0
05/04/2023,1.25,0
04/04/2023,1.242,0
03/04/2023,1.229,0
31/03/2023,1.239,0
30/03/2023,1.231,0
29/03/2023,1.233,-0.001
28/03/2023,1.23,0
27/03/2023,1.224,0
24/03/2023,1.228,0
23/03/2023,1.228,0
22/03/2023,1.223,0
21/03/2023,1.228,0
20/03/2023,1.219,0
17/03/2023,1.211,0
16/03/2023,1.207,0
15/03/2023,1.215,0
14/03/2023,1.217,0
13/03/2023,1.208,0
10/03/2023,1.192,0
09/03/2023,1.185,0
08/03/2023,1.183,0
07/03/2023,1.203,0
06/03/2023,1.203,0
03/03/2023,1.195,0
02/03/2023,1.203,0
01/03/2023,1.203,0
28/02/2023,1.206,0
27/02/2023,1.195,0
24/02/2023,1.202,0
23/02/2023,1.205,0
22/02/2023,1.211,0
21/02/2023,1.204,0
20/02/2023,1.203,0
17/02/2023,1.197,0
16/02/2023,1.204,0
15/02/2023,1.217,0
14/02/2023,1.215,0
13/02/2023,1.205,0
10/02/2023,1.212,0
09/02/2023,1.207,0
08/02/2023,1.205,0
07/02/2023,1.203,0
06/02/2023,1.204,0
03/02/2023,1.222,0
02/02/2023,1.239,0
01/02/2023,1.231,0
31/01/2023,1.235,0
30/01/2023,1.24,0
27/01/2023,1.242,0
26/01/2023,1.241,0
25/01/2023,1.233,0
24/01/2023,1.238,0
23/01/2023,1.241,0
20/01/2023,1.239,0
19/01/2023,1.235,0
18/01/2023,1.228,0
17/01/2023,1.221,0
16/01/2023,1.223,0
13/01/2023,1.222,0
12/01/2023,1.216,0
11/01/2023,1.215,0
10/01/2023,1.218,0
09/01/2023,1.212,0
06/01/2023,1.191,0
05/01/2023,1.205,0
04/01/2023,1.197,0
03/01/2023,1.206,0
02/01/2023,1.212,0
30/12/2022,1.206,0
29/12/2022,1.203,0
28/12/2022,1.203,0
27/12/2022,1.208,0
26/12/2022,1.206,0
23/12/2022,1.204,0
22/12/2022,1.208,0
21/12/2022,1.219,0
20/12/2022,1.215,0
19/12/2022,1.216,0
16/12/2022,1.219,0
15/12/2022,1.242,0
14/12/2022,1.236,0
13/12/2022,1.227,0
12/12/2022,1.224,0
09/12/2022,1.224,0
08/12/2022,1.221,0
07/12/2022,1.213,0
06/12/2022,1.219,0
05/12/2022,1.23,0
02/12/2022,1.226,0
01/12/2022,1.208,0
30/11/2022,1.195,0
29/11/2022,1.196,0
28/11/2022,1.206,-0.001
25/11/2022,1.211,0
24/11/2022,1.208,0
23/11/2022,1.19,0
22/11/2022,1.183,0
21/11/2022,1.189,0
18/11/2022,1.186,0
17/11/2022,1.192,0
16/11/2022,1.188,0
15/11/2022,1.175,0
14/11/2022,1.18,0
11/11/2022,1.17,0
10/11/2022,1.137,0
09/11/2022,1.155,0
08/11/2022,1.152,0
07/11/2022,1.133,-0.001
04/11/2022,1.117,0
03/11/2022,1.138,0
02/11/2022,1.149,0
01/11/2022,1.147,0
31/10/2022,1.16,0
28/10/2022,1.157,0
27/10/2022,1.164,0
26/10/2022,1.146,0
25/10/2022,1.131,0
24/10/2022,1.134,0.001
21/10/2022,1.122,0
20/10/2022,1.121,0
19/10/2022,1.134,0
18/10/2022,1.135,0
17/10/2022,1.124,0.001
14/10/2022,1.13,0
13/10/2022,1.11,0.001
12/10/2022,1.097,0
11/10/2022,1.108,0
10/10/2022,1.107,0
07/10/2022,1.116,0
06/10/2022,1.136,0
05/10/2022,1.145,0
04/10/2022,1.134,-0.001
03/10/2022,1.114,0
30/09/2022,1.117,0.001
29/09/2022,1.084,0
28/09/2022,1.073,0
27/09/2022,1.077,0
26/09/2022,1.08,0
23/09/2022,1.126,0
22/09/2022,1.126,0
21/09/2022,1.138,0
20/09/2022,1.145,-0.001
19/09/2022,1.143,0
16/09/2022,1.145,0
15/09/2022,1.154,0
14/09/2022,1.15,0
13/09/2022,1.169,0
12/09/2022,1.162,0
09/09/2022,1.152,0
08/09/2022,1.152,0
07/09/2022,1.151,0
06/09/2022,1.157,0
05/09/2022,1.148,0
02/09/2022,1.155,0
01/09/2022,1.16,0
31/08/2022,1.166,0
30/08/2022,1.172,0
29/08/2022,1.169,0
26/08/2022,1.182,0
25/08/2022,1.179,0
24/08/2022,1.183,0
23/08/2022,1.177,0
22/08/2022,1.182,0
19/08/2022,1.193,0
18/08/2022,1.205,0
17/08/2022,1.21,0
16/08/2022,1.206,0
15/08/2022,1.213,0
12/08/2022,1.22,0
11/08/2022,1.221,0
10/08/2022,1.207,0
09/08/2022,1.208,0
08/08/2022,1.206,0
05/08/2022,1.216,0
04/08/2022,1.214,0
03/08/2022,1.215,0
02/08/2022,1.226,-0.001
01/08/2022,1.217,0
29/07/2022,1.217,0
28/07/2022,1.216,0
27/07/2022,1.204,0
26/07/2022,1.206,0
25/07/2022,1.199,0
22/07/2022,1.2,0
21/07/2022,1.197,0.001
20/07/2022,1.2,0
19/07/2022,1.195,0
18/07/2022,1.189,0
15/07/2022,1.184,0
14/07/2022,1.186,0
13/07/2022,1.188,0
12/07/2022,1.19,0
11/07/2022,1.202,0
08/07/2022,1.203,0
07/07/2022,1.192,0
06/07/2022,1.195,0
05/07/2022,1.211,0
04/07/2022,1.21,0
01/07/2022,1.216,0
30/06/2022,1.213,0
29/06/2022,1.219,0
28/06/2022,1.227,0
27/06/2022,1.229,-0.001
24/06/2022,1.226,0
23/06/2022,1.225,0
22/06/2022,1.227,0
21/06/2022,1.225,0
20/06/2022,1.223,0
17/06/2022,1.235,0
16/06/2022,1.218,-0.001
15/06/2022,1.201,0
14/06/2022,1.214,0
13/06/2022,1.228,0
10/06/2022,1.249,0
09/06/2022,1.254,0
08/06/2022,1.259,0
07/06/2022,1.252,0
06/06/2022,1.249,0
03/06/2022,1.258,0
02/06/2022,1.248,0
01/06/2022,1.261,0
31/05/2022,1.265,0
30/05/2022,1.263,0
27/05/2022,1.262,0
