Data,Kurs ?redni,Zmiana
21/07/2023,87.39,0.5
20/07/2023,87.41,0.14
19/07/2023,87.53,0.62
18/07/2023,87.68,1.21
17/07/2023,88.27,0.82
14/07/2023,88.24,0.4
13/07/2023,87.19,0.08
12/07/2023,86.85,0.62
11/07/2023,87.68,0.97
10/07/2023,88.24,0.57
07/07/2023,88.71,0.59
06/07/2023,89.21,0.67
05/07/2023,89.48,0.33
04/07/2023,88.99,0.16
03/07/2023,88.53,0.05
30/06/2023,87.83,0.08
29/06/2023,87.69,0.12
28/06/2023,88.58,0.98
27/06/2023,88.39,0.09
26/06/2023,88.24,0.25
23/06/2023,88.42,0.93
22/06/2023,87.93,0.22
21/06/2023,87.14,-0.03
20/06/2023,88,1.14
19/06/2023,88.4,0.59
16/06/2023,87.44,0.17
15/06/2023,86.72,-0.01
14/06/2023,86.32,0.25
13/06/2023,85.45,0.3
12/06/2023,85.42,0.14
09/06/2023,84.61,-0.01
08/06/2023,84.52,0.11
07/06/2023,84.79,0.37
06/06/2023,84.59,0.01
05/06/2023,84.92,0.39
02/06/2023,84.13,0.04
01/06/2023,83.79,0.27
31/05/2023,84.51,0.86
30/05/2023,84.87,0.44
29/05/2023,85.32,0.49
26/05/2023,84.74,0.15
25/05/2023,85.03,0.59
24/05/2023,86.61,1.91
23/05/2023,87.16,0.76
22/05/2023,86.6,0.42
19/05/2023,86.43,0.2
18/05/2023,85.92,0.16
17/05/2023,85.07,0.06
16/05/2023,84.92,0.29
15/05/2023,83.87,-0.09
12/05/2023,84.64,0.91
11/05/2023,85.41,0.92
10/05/2023,85.74,0.39
09/05/2023,85.6,0.29
08/05/2023,85.15,0.24
05/05/2023,84.38,0.07
04/05/2023,83.52,0.03
03/05/2023,84.96,0.8
02/05/2023,84.75,0.18
01/05/2023,84.16,0.04
28/04/2023,82.22,-0.03
27/04/2023,81.68,0.04
26/04/2023,82.18,0.62
25/04/2023,82.79,0.59
24/04/2023,82.28,0.13
21/04/2023,82.77,0.83
20/04/2023,82.99,0.15
19/04/2023,83.3,0.09
18/04/2023,83.1,0.06
17/04/2023,83.07,0.26
14/04/2023,83.5,0.54
13/04/2023,82.74,0.17
12/04/2023,82.75,0.16
11/04/2023,83.1,0.57
10/04/2023,82.48,0.07
07/04/2023,82.21,0.44
06/04/2023,82.69,0.53
05/04/2023,82.97,0.78
04/04/2023,83.36,0.46
03/04/2023,82.99,0.34
31/03/2023,83.5,0.42
30/03/2023,82.47,0.45
29/03/2023,81.93,0.02
28/03/2023,81.39,0.19
27/03/2023,81.25,0.28
24/03/2023,81.73,1.29
23/03/2023,81.74,0.07
22/03/2023,81.94,0.11
21/03/2023,82.01,0.58
20/03/2023,82.97,1.47
17/03/2023,82.72,0.3
16/03/2023,81.93,0.79
15/03/2023,83.73,1.71
14/03/2023,82.73,0.05
13/03/2023,82.83,0.84
10/03/2023,83.2,0.42
09/03/2023,83.89,0.5
08/03/2023,83.95,0.23
07/03/2023,84.28,0.49
06/03/2023,84.4,0.55
03/03/2023,85.03,0.67
02/03/2023,85.17,0.43
01/03/2023,84.34,0.29
28/02/2023,84.01,0.25
27/02/2023,84.08,0.47
24/02/2023,83.86,0.25
23/02/2023,83.96,0.36
22/02/2023,83.89,0.36
21/02/2023,84.04,0.45
20/02/2023,83.74,0.29
17/02/2023,83.71,0.16
16/02/2023,84.06,0.35
15/02/2023,84.24,0.61
14/02/2023,84.15,1.14
13/02/2023,83.02,0.14
10/02/2023,83.2,0.86
09/02/2023,82.95,0.1
08/02/2023,82.83,0.16
07/02/2023,83.65,1.04
06/02/2023,83.51,0.32
03/02/2023,83.37,0.49
02/02/2023,83.8,0.55
01/02/2023,83.75,0.58
31/01/2023,84.4,0.91
30/01/2023,84.29,0.41
27/01/2023,84.24,0.31
26/01/2023,83.77,0.2
25/01/2023,84.55,0.95
24/01/2023,84.74,0.42
23/01/2023,83.8,0.16
20/01/2023,82.07,0.01
19/01/2023,82.83,1.02
18/01/2023,82.5,0.02
17/01/2023,81.98,0
16/01/2023,81.69,0
13/01/2023,82.5,1.65
12/01/2023,83.97,1.38
11/01/2023,84.16,0.1
