Data,Kurs ?redni,Zmiana
24/07/2023,0.866,0
24/07/2023,0.869,0
21/07/2023,0.866,0
20/07/2023,0.858,0
19/07/2023,0.858,0
18/07/2023,0.86,0
17/07/2023,0.862,0
14/07/2023,0.859,0
13/07/2023,0.867,0
12/07/2023,0.879,0
11/07/2023,0.885,0
10/07/2023,0.889,0
07/07/2023,0.895,0
06/07/2023,0.899,0
05/07/2023,0.897,0
04/07/2023,0.896,0
03/07/2023,0.895,0
30/06/2023,0.899,0
29/06/2023,0.897,0
28/06/2023,0.894,0
27/06/2023,0.896,0
26/06/2023,0.896,0
23/06/2023,0.895,0
22/06/2023,0.892,0
21/06/2023,0.898,0
20/06/2023,0.896,0
19/06/2023,0.894,0
16/06/2023,0.892,0
15/06/2023,0.9,0
14/06/2023,0.905,0
13/06/2023,0.908,0
12/06/2023,0.903,0
09/06/2023,0.899,0
08/06/2023,0.91,0
07/06/2023,0.907,0
06/06/2023,0.906,0
05/06/2023,0.91,0
02/06/2023,0.906,0
01/06/2023,0.91,0
31/05/2023,0.906,0
30/05/2023,0.904,0
29/05/2023,0.906,0
26/05/2023,0.905,0
25/05/2023,0.904,0
24/05/2023,0.901,0
23/05/2023,0.898,0
22/05/2023,0.898,0
19/05/2023,0.905,0
18/05/2023,0.899,0
17/05/2023,0.896,0
16/05/2023,0.895,0
15/05/2023,0.898,0
12/05/2023,0.894,0
11/05/2023,0.889,0
10/05/2023,0.89,0
09/05/2023,0.89,0
08/05/2023,0.891,0
05/05/2023,0.885,0
04/05/2023,0.883,0
03/05/2023,0.892,0
02/05/2023,0.896,0
01/05/2023,0.895,0
28/04/2023,0.894,0
27/04/2023,0.891,0
26/04/2023,0.892,0
25/04/2023,0.887,0
24/04/2023,0.892,0
21/04/2023,0.892,0
20/04/2023,0.898,0
19/04/2023,0.896,0
18/04/2023,0.899,0
17/04/2023,0.895,0
14/04/2023,0.889,0
13/04/2023,0.896,0
12/04/2023,0.903,0
11/04/2023,0.909,0
10/04/2023,0.904,0
07/04/2023,0.904,0
06/04/2023,0.906,0
05/04/2023,0.905,0
04/04/2023,0.913,0
03/04/2023,0.918,0
31/03/2023,0.913,0
30/03/2023,0.918,0
29/03/2023,0.92,0
28/03/2023,0.915,0
27/03/2023,0.918,0.003
24/03/2023,0.916,0
23/03/2023,0.917,0
22/03/2023,0.921,0
21/03/2023,0.929,0
20/03/2023,0.927,0
17/03/2023,0.929,0
16/03/2023,0.931,0
15/03/2023,0.915,0
14/03/2023,0.912,0
13/03/2023,0.918,0
10/03/2023,0.933,0
09/03/2023,0.941,0
08/03/2023,0.942,0
07/03/2023,0.931,0
06/03/2023,0.937,0
03/03/2023,0.942,0
02/03/2023,0.939,0
01/03/2023,0.942,0
28/02/2023,0.936,0
27/02/2023,0.94,0
24/02/2023,0.934,0
23/02/2023,0.931,0
22/02/2023,0.928,0
21/02/2023,0.923,0
20/02/2023,0.925,0
17/02/2023,0.926,0
16/02/2023,0.923,0
15/02/2023,0.922,0
14/02/2023,0.919,0
13/02/2023,0.924,0
10/02/2023,0.922,0
09/02/2023,0.921,0
08/02/2023,0.922,0
07/02/2023,0.928,0
06/02/2023,0.926,0
03/02/2023,0.913,0
02/02/2023,0.907,0
01/02/2023,0.916,0
31/01/2023,0.925,0
30/01/2023,0.921,0
27/01/2023,0.92,0
26/01/2023,0.917,0
25/01/2023,0.922,0
24/01/2023,0.922,0
23/01/2023,0.92,0
20/01/2023,0.916,0
19/01/2023,0.916,0
18/01/2023,0.922,0
17/01/2023,0.925,0
16/01/2023,0.927,0
13/01/2023,0.927,0
12/01/2023,0.931,0
11/01/2023,0.922,0
10/01/2023,0.921,0
09/01/2023,0.927,0
06/01/2023,0.936,0
05/01/2023,0.93,0
04/01/2023,0.936,0
03/01/2023,0.924,0
02/01/2023,0.924,0
30/12/2022,0.923,0
29/12/2022,0.928,0
28/12/2022,0.929,0
27/12/2022,0.932,0
26/12/2022,0.933,0
23/12/2022,0.931,0
22/12/2022,0.926,0
21/12/2022,0.926,0
20/12/2022,0.929,0
19/12/2022,0.935,0
16/12/2022,0.928,0
15/12/2022,0.924,0
14/12/2022,0.929,0
13/12/2022,0.936,0
12/12/2022,0.935,0
09/12/2022,0.936,0
08/12/2022,0.94,0
07/12/2022,0.942,0
06/12/2022,0.942,0
05/12/2022,0.936,0
02/12/2022,0.936,0
01/12/2022,0.944,0
30/11/2022,0.954,0
29/11/2022,0.949,0
28/11/2022,0.947,0
25/11/2022,0.943,0
24/11/2022,0.941,0
23/11/2022,0.951,0
22/11/2022,0.958,0
21/11/2022,0.953,0
18/11/2022,0.953,0
17/11/2022,0.944,0
16/11/2022,0.943,0
15/11/2022,0.943,0
14/11/2022,0.944,0
11/11/2022,0.965,0
10/11/2022,0.984,0
09/11/2022,0.984,0
08/11/2022,0.989,0
07/11/2022,0.997,0
04/11/2022,1.013,0
03/11/2022,1.003,0
02/11/2022,1,0
01/11/2022,1.001,0
31/10/2022,0.996,0
28/10/2022,0.99,0
27/10/2022,0.985,0
26/10/2022,0.995,0
25/10/2022,0.999,0
24/10/2022,0.998,0
21/10/2022,1.004,0
20/10/2022,1.005,0
19/10/2022,0.994,0
18/10/2022,0.996,0
17/10/2022,1.004,0
14/10/2022,1.001,0
13/10/2022,0.997,0
12/10/2022,0.998,0
11/10/2022,1,0
10/10/2022,0.995,0
07/10/2022,0.99,0
06/10/2022,0.981,0
05/10/2022,0.979,0
04/10/2022,0.993,0
03/10/2022,0.986,0
30/09/2022,0.975,0
29/09/2022,0.978,0
28/09/2022,0.992,0
27/09/2022,0.992,0
26/09/2022,0.982,0
23/09/2022,0.976,0
22/09/2022,0.968,0
21/09/2022,0.964,0
20/09/2022,0.964,0
19/09/2022,0.963,0
16/09/2022,0.962,0
15/09/2022,0.962,0
14/09/2022,0.96,0
13/09/2022,0.953,0
12/09/2022,0.96,0
09/09/2022,0.969,0
08/09/2022,0.977,0
07/09/2022,0.985,0
06/09/2022,0.978,0
05/09/2022,0.983,0
02/09/2022,0.981,0
01/09/2022,0.979,0
31/08/2022,0.974,0
30/08/2022,0.967,0
29/08/2022,0.969,0
26/08/2022,0.964,0
25/08/2022,0.966,0
24/08/2022,0.964,0
23/08/2022,0.964,0
22/08/2022,0.959,0
19/08/2022,0.957,0
18/08/2022,0.951,0
17/08/2022,0.95,0
16/08/2022,0.946,0
15/08/2022,0.942,0
12/08/2022,0.941,0
11/08/2022,0.942,0
10/08/2022,0.954,0
09/08/2022,0.955,0
08/08/2022,0.962,0
05/08/2022,0.954,0
04/08/2022,0.961,0
03/08/2022,0.958,0
02/08/2022,0.95,0
01/08/2022,0.953,0
29/07/2022,0.954,0
28/07/2022,0.958,0
27/07/2022,0.962,0
26/07/2022,0.964,0
25/07/2022,0.963,0
22/07/2022,0.966,0
21/07/2022,0.971,0
20/07/2022,0.969,0
19/07/2022,0.978,0
18/07/2022,0.976,0
15/07/2022,0.983,0
14/07/2022,0.981,0
13/07/2022,0.982,0
12/07/2022,0.983,0
11/07/2022,0.978,0
08/07/2022,0.974,0
07/07/2022,0.97,0
06/07/2022,0.968,0
05/07/2022,0.961,0
04/07/2022,0.958,0
01/07/2022,0.955,0
30/06/2022,0.954,0
29/06/2022,0.957,0
28/06/2022,0.956,0
27/06/2022,0.957,0
24/06/2022,0.961,0
23/06/2022,0.962,0
22/06/2022,0.966,0
