Data,Kurs ?redni,Zmiana
21/07/2023,21.54,-0.05
20/07/2023,21.29,0.00
19/07/2023,21.22,0.00
18/07/2023,21.13,0.00
17/07/2023,21.15,0.00
14/07/2023,21.16,0.00
13/07/2023,21.33,0.00
12/07/2023,21.64,0.00
11/07/2023,21.63,0.00
10/07/2023,21.76,0.00
07/07/2023,21.92,0.00
06/07/2023,21.86,0.00
05/07/2023,21.79,0.00
04/07/2023,21.69,0.00
03/07/2023,21.74,0.00
30/06/2023,21.77,0.00
29/06/2023,21.68,0.00
28/06/2023,21.54,0.00
27/06/2023,21.61,0.00
26/06/2023,21.68,0.00
23/06/2023,21.58,0.00
22/06/2023,21.57,0.00
21/06/2023,21.73,0.00
20/06/2023,21.71,0.00
19/06/2023,21.75,0.00
16/06/2023,21.70,0.00
15/06/2023,21.93,0.00
14/06/2023,22.06,0.00
13/06/2023,22.08,0.00
12/06/2023,22.02,0.00
09/06/2023,21.93,0.00
08/06/2023,22.07,0.00
07/06/2023,22.01,0.00
06/06/2023,21.96,0.00
05/06/2023,22.08,0.00
02/06/2023,21.98,0.00
01/06/2023,22.16,0.00
31/05/2023,22.06,0.00
30/05/2023,22.08,0.00
29/05/2023,22.07,0.00
26/05/2023,22.00,0.00
25/05/2023,21.99,0.00
24/05/2023,21.96,0.00
23/05/2023,21.87,0.00
22/05/2023,21.92,0.00
19/05/2023,21.96,0.00
18/05/2023,21.81,0.00
17/05/2023,21.73,0.00
16/05/2023,21.69,0.00
15/05/2023,21.74,0.00
12/05/2023,21.55,0.00
11/05/2023,21.31,0.00
10/05/2023,21.31,0.00
09/05/2023,21.25,0.00
08/05/2023,21.23,0.00
05/05/2023,21.22,0.00
04/05/2023,21.21,0.00
03/05/2023,21.41,0.00
02/05/2023,21.49,0.00
01/05/2023,21.31,0.00
28/04/2023,21.24,0.00
27/04/2023,21.27,0.00
26/04/2023,21.39,0.00
25/04/2023,21.21,0.00
24/04/2023,21.37,0.00
21/04/2023,21.40,0.00
20/04/2023,21.36,0.00
19/04/2023,21.34,0.00
18/04/2023,21.39,0.00
17/04/2023,21.19,0.00
14/04/2023,21.01,0.00
13/04/2023,21.20,0.00
12/04/2023,21.48,0.00
11/04/2023,21.48,0.00
10/04/2023,21.40,0.00
07/04/2023,21.37,0.00
06/04/2023,21.47,0.00
05/04/2023,21.40,0.00
04/04/2023,21.50,0.00
03/04/2023,21.69,0.00
31/03/2023,21.53,0.00
30/03/2023,21.73,0.00
29/03/2023,21.79,0.00
28/03/2023,21.99,0.00
27/03/2023,21.94,0.00
24/03/2023,21.78,0.00
23/03/2023,21.79,0.00
22/03/2023,22.03,0.00
21/03/2023,22.34,0.00
20/03/2023,22.45,0.00
17/03/2023,22.55,0.00
16/03/2023,22.68,0.00
15/03/2023,22.14,0.00
14/03/2023,22.10,0.00
13/03/2023,22.11,0.00
10/03/2023,22.32,0.00
09/03/2023,22.30,0.00
08/03/2023,22.28,0.00
07/03/2023,22.01,0.00
06/03/2023,22.02,0.00
03/03/2023,22.09,0.00
02/03/2023,21.87,0.00
01/03/2023,22.18,0.00
28/02/2023,22.26,0.00
27/02/2023,22.40,0.00
24/02/2023,22.30,0.00
23/02/2023,22.30,0.00
22/02/2023,22.25,0.00
21/02/2023,22.18,0.00
20/02/2023,22.17,0.00
17/02/2023,22.16,0.00
