Data,Kurs,Zmiana
01/01/1950,34.73,0
01/02/1950,34.73,0
01/03/1950,34.73,0
01/04/1950,34.73,0
01/05/1950,34.73,0
01/06/1950,34.73,0
01/07/1950,34.73,0
01/08/1950,34.73,0
01/09/1950,34.73,0
01/10/1950,34.73,0
01/11/1950,34.73,0
01/12/1950,34.72,-0.01
01/01/1951,34.72,0
01/02/1951,34.73,0.01
01/03/1951,34.73,0
01/04/1951,34.73,0
01/05/1951,34.73,0
01/06/1951,34.73,0
01/07/1951,34.72,-0.01
01/08/1951,34.71,-0.01
01/09/1951,34.71,0
01/10/1951,34.71,0
01/11/1951,34.73,0.02
01/12/1951,34.66,-0.07
01/01/1952,34.49,-0.17
01/02/1952,34.49,0
01/03/1952,34.68,0.19
01/04/1952,34.82,0.14
01/05/1952,34.73,-0.09
01/06/1952,34.53,-0.2
01/07/1952,34.57,0.04
01/08/1952,34.58,0.01
01/09/1952,34.51,-0.07
01/10/1952,34.63,0.12
01/11/1952,34.72,0.09
01/12/1952,34.79,0.07
01/01/1953,34.88,0.09
01/02/1953,34.95,0.07
01/03/1953,34.92,-0.03
01/04/1953,34.93,0.01
01/05/1953,34.9,-0.03
01/06/1953,34.89,-0.01
01/07/1953,34.91,0.02
01/08/1953,34.91,0
01/09/1953,34.76,-0.15
01/10/1953,34.79,0.03
01/11/1953,34.86,0.07
01/12/1953,34.85,-0.01
01/01/1954,34.86,0.01
01/02/1954,34.88,0.02
01/03/1954,34.92,0.04
01/04/1954,35.04,0.12
01/05/1954,35.08,0.04
01/06/1954,35.07,-0.01
01/07/1954,35.08,0.01
01/08/1954,35.05,-0.03
01/09/1954,35.08,0.03
01/10/1954,35.08,0
01/11/1954,35.06,-0.02
01/12/1954,35.04,-0.02
01/01/1955,35.04,0
01/02/1955,35.05,0.01
01/03/1955,35.06,0.01
01/04/1955,35.05,-0.01
01/05/1955,35.05,0
01/06/1955,35.04,-0.01
01/07/1955,35.05,0.01
01/08/1955,35.03,-0.02
01/09/1955,34.98,-0.05
01/10/1955,34.98,0
01/11/1955,34.98,0
01/12/1955,34.97,-0.01
01/01/1956,34.99,0.02
01/02/1956,34.99,0
01/03/1956,34.99,0
01/04/1956,34.98,-0.01
01/05/1956,34.99,0.01
01/06/1956,34.98,-0.01
01/07/1956,35,0.02
01/08/1956,35.02,0.02
01/09/1956,35.01,-0.01
01/10/1956,35.02,0.01
01/11/1956,34.98,-0.04
01/12/1956,34.9,-0.08
01/01/1957,34.88,-0.02
01/02/1957,34.89,0.01
01/03/1957,34.91,0.02
01/04/1957,34.92,0.01
01/05/1957,34.93,0.01
01/06/1957,34.99,0.06
01/07/1957,34.99,0
01/08/1957,34.97,-0.02
01/09/1957,34.96,-0.01
01/10/1957,34.97,0.01
01/11/1957,34.97,0
01/12/1957,34.99,0.02
01/01/1958,35.01,0.02
01/02/1958,35.08,0.07
01/03/1958,35.09,0.01
01/04/1958,35.1,0.01
01/05/1958,35.11,0.01
01/06/1958,35.1,-0.01
01/07/1958,35.11,0.01
01/08/1958,35.1,-0.01
01/09/1958,35.1,0
01/10/1958,35.11,0.01
01/11/1958,35.1,-0.01
01/12/1958,35.09,-0.01
01/01/1959,35.07,-0.02
01/02/1959,35.06,-0.01
01/03/1959,35.06,0
01/04/1959,35.08,0.02
01/05/1959,35.12,0.04
01/06/1959,35.12,0
01/07/1959,35.13,0.01
01/08/1959,35.12,-0.01
01/09/1959,35.13,0.01
01/10/1959,35.1,-0.03
01/11/1959,35.06,-0.04
01/12/1959,35.05,-0.01
01/01/1960,35.09,0.04
01/02/1960,35.09,0
01/03/1960,35.09,0
01/04/1960,35.11,0.02
01/05/1960,35.1,-0.01
01/06/1960,35.09,-0.01
01/07/1960,35.1,0.01
01/08/1960,35.13,0.03
01/09/1960,35.22,0.09
01/10/1960,35.78,0.56
01/11/1960,35.82,0.04
01/12/1960,35.54,-0.28
01/01/1961,35.56,0.02
01/02/1961,35.17,-0.39
01/03/1961,35.08,-0.09
01/04/1961,35.08,0
01/05/1961,35.06,-0.02
01/06/1961,35.07,0.01
01/07/1961,35.11,0.04
01/08/1961,35.16,0.05
01/09/1961,35.19,0.03
01/10/1961,35.19,0
01/11/1961,35.19,0
01/12/1961,35.15,-0.04
01/01/1962,35.16,0.01
01/02/1962,35.13,-0.03
01/03/1962,35.09,-0.04
01/04/1962,35.08,-0.01
01/05/1962,35.08,0
01/06/1962,35.1,0.02
01/07/1962,35.12,0.02
01/08/1962,35.12,0
01/09/1962,35.13,0.01
01/10/1962,35.14,0.01
01/11/1962,35.09,-0.05
01/12/1962,35.08,-0.01
01/01/1963,35.06,-0.02
01/02/1963,35.08,0.02
01/03/1963,35.1,0.02
01/04/1963,35.1,0
01/05/1963,35.08,-0.02
01/06/1963,35.08,0
01/07/1963,35.09,0.01
01/08/1963,35.1,0.01
01/09/1963,35.08,-0.02
01/10/1963,35.08,0
01/11/1963,35.08,0
01/12/1963,35.08,0
01/01/1964,35.08,0
01/02/1964,35.08,0
01/03/1964,35.08,0
01/04/1964,35.08,0
01/05/1964,35.08,0
01/06/1964,35.08,0
01/07/1964,35.08,0
01/08/1964,35.08,0
01/09/1964,35.09,0.01
01/10/1964,35.11,0.02
01/11/1964,35.1,-0.01
01/12/1964,35.12,0.02
01/01/1965,35.13,0.01
01/02/1965,35.14,0.01
01/03/1965,35.16,0.02
01/04/1965,35.14,-0.02
01/05/1965,35.1,-0.04
01/06/1965,35.1,0
01/07/1965,35.12,0.02
01/08/1965,35.15,0.03
01/09/1965,35.14,-0.01
01/10/1965,35.11,-0.03
01/11/1965,35.11,0
01/12/1965,35.13,0.02
01/01/1966,35.15,0.02
01/02/1966,35.17,0.02
01/03/1966,35.15,-0.02
01/04/1966,35.13,-0.02
01/05/1966,35.12,-0.01
01/06/1966,35.15,0.03
01/07/1966,35.18,0.03
01/08/1966,35.18,0
01/09/1966,35.19,0.01
01/10/1966,35.16,-0.03
01/11/1966,35.16,0
01/12/1966,35.18,0.02
01/01/1967,35.18,0
01/02/1967,35.17,-0.01
01/03/1967,35.16,-0.01
01/04/1967,35.17,0.01
01/05/1967,35.18,0.01
01/06/1967,35.19,0.01
01/07/1967,35.19,0
01/08/1967,35.19,0
01/09/1967,35.19,0
01/10/1967,35.19,0
01/11/1967,35.2,0.01
01/12/1967,35.19,-0.01
01/01/1968,35.18,-0.01
01/02/1968,35.2,0.02
01/03/1968,35.2,0
01/04/1968,37.878,2.678
01/05/1968,40.691,2.813
01/06/1968,41.111,0.42
01/07/1968,39.53,-1.581
01/08/1968,39.17,-0.36
01/09/1968,40.203,1.033
01/10/1968,39.21,-0.993
01/11/1968,39.795,0.585
01/12/1968,41.113,1.318
01/01/1969,42.291,1.178
01/02/1969,42.616,0.325
01/03/1969,43.171,0.555
01/04/1969,43.295,0.124
01/05/1969,43.461,0.166
01/06/1969,41.442,-2.019
01/07/1969,41.755,0.313
01/08/1969,41.128,-0.627
01/09/1969,40.865,-0.263
01/10/1969,40.476,-0.389
01/11/1969,37.452,-3.024
01/12/1969,35.189,-2.263
01/01/1970,34.946,-0.243
01/02/1970,34.994,0.048
01/03/1970,35.089,0.095
01/04/1970,35.623,0.534
01/05/1970,35.958,0.335
01/06/1970,35.437,-0.521
01/07/1970,35.329,-0.108
01/08/1970,35.377,0.048
01/09/1970,36.196,0.819
01/10/1970,37.553,1.357
01/11/1970,37.455,-0.098
01/12/1970,37.434,-0.021
01/01/1971,37.868,0.434
01/02/1971,38.716,0.848
01/03/1971,38.873,0.157
01/04/1971,39.001,0.128
01/05/1971,40.493,1.492
01/06/1971,40.105,-0.388
01/07/1971,40.929,0.824
01/08/1971,42.722,1.793
01/09/1971,41.976,-0.746
01/10/1971,42.473,0.497
01/11/1971,42.842,0.369
01/12/1971,43.455,0.613
01/01/1972,45.64,2.185
01/02/1972,48.237,2.597
01/03/1972,48.288,0.051
01/04/1972,49.026,0.738
01/05/1972,54.5,5.474
01/06/1972,62.17,7.67
01/07/1972,65.558,3.388
01/08/1972,66.917,1.359
01/09/1972,65.589,-1.328
01/10/1972,64.824,-0.765
01/11/1972,62.726,-2.098
01/12/1972,63.779,1.053
01/01/1973,65.127,1.348
01/02/1973,73.971,8.844
01/03/1973,84.105,10.134
01/04/1973,90.441,6.336
01/05/1973,101.623,11.182
01/06/1973,119.8,18.177
01/07/1973,120.364,0.564
01/08/1973,106.225,-14.139
01/09/1973,103.034,-3.191
01/10/1973,99.923,-3.111
01/11/1973,94.645,-5.278
01/12/1973,106.236,11.591
01/01/1974,129.027,22.791
01/02/1974,150,20.973
01/03/1974,168.298,18.298
01/04/1974,172.243,3.945
01/05/1974,163.568,-8.675
01/06/1974,154.013,-9.555
01/07/1974,142.283,-11.73
01/08/1974,154.362,12.079
01/09/1974,151.66,-2.702
01/10/1974,158.533,6.873
01/11/1974,181.483,22.95
01/12/1974,183.683,2.2
01/01/1975,176.864,-6.819
01/02/1975,179.553,2.689
01/03/1975,178.203,-1.35
01/04/1975,170.066,-8.137
01/05/1975,167.293,-2.773
01/06/1975,164.25,-3.043
01/07/1975,164.867,0.617
01/08/1975,163.168,-1.699
01/09/1975,144.311,-18.857
01/10/1975,142.691,-1.62
01/11/1975,142.565,-0.126
01/12/1975,139.279,-3.286
01/01/1976,131.695,-7.584
01/02/1976,130.94,-0.755
