Data,Kurs ?redni,Zmiana
26/07/2023,0.893,0
25/07/2023,0.887,0
24/07/2023,0.889,0
24/07/2023,0.887,0
21/07/2023,0.893,0
20/07/2023,0.891,0
19/07/2023,0.897,0
18/07/2023,0.899,0
17/07/2023,0.904,0
14/07/2023,0.903,0
13/07/2023,0.895,0
12/07/2023,0.885,0
11/07/2023,0.886,0
10/07/2023,0.888,0
07/07/2023,0.886,0
06/07/2023,0.884,0
05/07/2023,0.885,0
04/07/2023,0.884,0
03/07/2023,0.882,0
30/06/2023,0.877,0
29/06/2023,0.875,0
28/06/2023,0.882,0
27/06/2023,0.878,0
26/06/2023,0.879,0
23/06/2023,0.889,0
22/06/2023,0.895,0
21/06/2023,0.898,0
20/06/2023,0.905,0
19/06/2023,0.907,0
16/06/2023,0.91,0
15/06/2023,0.906,0
14/06/2023,0.901,0
13/06/2023,0.902,0
12/06/2023,0.899,0
09/06/2023,0.897,0
08/06/2023,0.89,0
07/06/2023,0.895,0
06/06/2023,0.889,0
05/06/2023,0.886,0
02/06/2023,0.884,0
01/06/2023,0.883,0
31/05/2023,0.886,0
30/05/2023,0.888,0
29/05/2023,0.888,0
26/05/2023,0.887,0
25/05/2023,0.889,0
24/05/2023,0.893,0
23/05/2023,0.898,0
22/05/2023,0.898,0
19/05/2023,0.894,0
18/05/2023,0.896,0
17/05/2023,0.897,0
16/05/2023,0.902,0
15/05/2023,0.901,0
12/05/2023,0.904,0
11/05/2023,0.907,0
10/05/2023,0.905,0
09/05/2023,0.907,0
08/05/2023,0.903,0
05/05/2023,0.906,0
04/05/2023,0.905,0
03/05/2023,0.908,0
02/05/2023,0.898,0
01/05/2023,0.896,0
28/04/2023,0.902,0
27/04/2023,0.901,0
26/04/2023,0.904,0
25/04/2023,0.907,0
24/04/2023,0.906,0
21/04/2023,0.909,0
20/04/2023,0.903,0
19/04/2023,0.902,0
18/04/2023,0.897,0
17/04/2023,0.896,0
14/04/2023,0.905,0
13/04/2023,0.9,0
12/04/2023,0.896,0
11/04/2023,0.898,0
