Data,Kurs ?redni,Zmiana
26/07/2023,106.546,-0.603
25/07/2023,107.41,0
24/07/2023,107.355,0.039
21/07/2023,106.155,0
20/07/2023,106.044,0
19/07/2023,105.586,0
18/07/2023,105.072,0
17/07/2023,104.83,0
14/07/2023,105.291,0
13/07/2023,104.91,0
12/07/2023,105.908,0
11/07/2023,106.428,0
10/07/2023,107.088,0
07/07/2023,107.693,0
06/07/2023,108.74,0
05/07/2023,109.182,0
04/07/2023,109.123,0
03/07/2023,108.968,0
30/06/2023,109.266,0
29/06/2023,108.948,0
28/06/2023,109.008,0
27/06/2023,109.076,0
26/06/2023,109.024,0
23/06/2023,108.791,0
22/06/2023,107.646,0
21/06/2023,106.855,0
20/06/2023,107.41,0
19/06/2023,107.466,0
16/06/2023,106.07,0
15/06/2023,105.021,0
14/06/2023,105.273,0
13/06/2023,104.339,0
12/06/2023,104.49,0
09/06/2023,103.913,0
08/06/2023,104.62,0
07/06/2023,104.125,0
06/06/2023,103.634,0
05/06/2023,104.405,0
02/06/2023,103.192,0
01/06/2023,102.52,0
31/05/2023,102.787,0
30/05/2023,103.229,0
29/05/2023,103.507,0
26/05/2023,102.616,0
25/05/2023,102.491,0
24/05/2023,102.654,0
23/05/2023,102.691,0
22/05/2023,102.064,0
19/05/2023,102.693,0
18/05/2023,102.178,0
17/05/2023,101.224,0
16/05/2023,101.018,0
15/05/2023,100.188,0
12/05/2023,99.656,0
11/05/2023,100.266,0
10/05/2023,101.134,0
09/05/2023,101.001,0
08/05/2023,101.036,0
05/05/2023,99.201,0
04/05/2023,98.69,0
03/05/2023,100.194,0
02/05/2023,101.474,0
01/05/2023,100.577,0
28/04/2023,98.378,0
27/04/2023,97.905,-0.01
26/04/2023,98.172,0
25/04/2023,99.06,0
24/04/2023,98.938,0
21/04/2023,99.39,0
20/04/2023,100.003,0
19/04/2023,100.088,0
18/04/2023,100.366,0
17/04/2023,100.2,0
14/04/2023,99.307,0
13/04/2023,99.018,0
12/04/2023,99.219,0
11/04/2023,98.831,0
10/04/2023,97.792,0
07/04/2023,97.558,0
06/04/2023,97.31,-0.012
05/04/2023,97.788,0
04/04/2023,98.476,0
03/04/2023,98.727,0
31/03/2023,98.496,0
30/03/2023,97.741,0
29/03/2023,96.394,0
28/03/2023,96.105,0
27/03/2023,95.287,0.015
24/03/2023,95.386,0
23/03/2023,95.626,0
22/03/2023,96.523,0
21/03/2023,96.105,0
20/03/2023,96.454,0
17/03/2023,97.199,0
16/03/2023,96.55,0
15/03/2023,98.168,0
14/03/2023,96.89,0
13/03/2023,98.022,0
10/03/2023,98.603,0
09/03/2023,99.438,0
08/03/2023,99.913,0
07/03/2023,99.868,0
06/03/2023,99.925,-0.01
03/03/2023,100.55,0
02/03/2023,100.212,0
01/03/2023,99.913,0
28/02/2023,100.404,0
27/02/2023,100.306,-0.011
24/02/2023,99.399,0
23/02/2023,99.609,0
22/02/2023,99.67,0
21/02/2023,99.843,0
20/02/2023,99.607,-0.009
17/02/2023,99.5,0
16/02/2023,99.979,0
15/02/2023,99.68,0
14/02/2023,99.21,0
13/02/2023,98.474,0
10/02/2023,97.787,0
09/02/2023,97.712,0
08/02/2023,97.847,0
07/02/2023,98.647,0
06/02/2023,98.507,0
03/02/2023,96.67,0
02/02/2023,96.88,0
01/02/2023,97.76,0
31/01/2023,97.485,0
30/01/2023,97.602,0
27/01/2023,97.45,0
26/01/2023,96.571,0
25/01/2023,97.361,0
24/01/2023,97.662,0
23/01/2023,96.746,-0.029
20/01/2023,95.331,0
19/01/2023,95.246,0
18/01/2023,95.784,0
17/01/2023,95.759,0
16/01/2023,95.555,0
13/01/2023,96.544,0
12/01/2023,98.206,0
11/01/2023,98.33,0
10/01/2023,98.34,0
09/01/2023,98.137,0
06/01/2023,98.293,0
05/01/2023,98.054,0
04/01/2023,95.972,0
03/01/2023,96.449,0
02/01/2023,96.647,0
30/12/2022,98.053,0
29/12/2022,98.539,0
28/12/2022,98.68,0
27/12/2022,97.913,0
26/12/2022,97.373,0
23/12/2022,97.028,0
22/12/2022,97.2,0
21/12/2022,96.961,0
20/12/2022,100.388,0
19/12/2022,99.758,0
16/12/2022,100.85,0
15/12/2022,99.879,0
14/12/2022,100.011,0
13/12/2022,100.87,-0.005
12/12/2022,100.104,0
09/12/2022,100.458,0
08/12/2022,99.895,0
07/12/2022,100.277,0
06/12/2022,100.554,0
05/12/2022,99.999,0
02/12/2022,100.579,0
01/12/2022,102.387,0
30/11/2022,102.126,0
29/11/2022,102.823,0
28/11/2022,103.916,-0.017
25/11/2022,103.907,0
24/11/2022,104.366,0
23/11/2022,105.627,0
22/11/2022,105.658,0
21/11/2022,104.838,0
18/11/2022,105.381,0
17/11/2022,104.473,0
16/11/2022,104.675,0
15/11/2022,105.143,0
14/11/2022,105.194,0
11/11/2022,106.303,0
10/11/2022,108.065,0
09/11/2022,108.281,0
08/11/2022,108.648,0
07/11/2022,108.66,0
04/11/2022,107.971,0
03/11/2022,107.813,0
02/11/2022,108.597,0
01/11/2022,109.262,0
31/10/2022,108.61,0
28/10/2022,107.823,0
27/10/2022,107.816,0
26/10/2022,108.663,0
25/10/2022,108.706,0
24/10/2022,108.311,0
21/10/2022,108.98,0
20/10/2022,108.77,0
19/10/2022,108.701,0
18/10/2022,108.625,0
17/10/2022,107.267,0
14/10/2022,107.034,0
13/10/2022,106.203,0
12/10/2022,105.758,0
11/10/2022,105.745,0
10/10/2022,105.932,0
07/10/2022,105.533,0
06/10/2022,106.212,0
05/10/2022,106.452,0
04/10/2022,106.032,0
03/10/2022,105.025,0
30/09/2022,105.61,0
29/09/2022,105.945,0
28/09/2022,105.425,0
27/09/2022,105.351,0
26/09/2022,105.661,0
23/09/2022,105.618,0
22/09/2022,107.057,0
21/09/2022,107.429,0
20/09/2022,108.135,0
19/09/2022,107.67,0
16/09/2022,108.2,0
15/09/2022,108.58,0
14/09/2022,109.68,0
13/09/2022,109.832,0
12/09/2022,109.476,0
09/09/2022,109.963,0
08/09/2022,109.75,0
07/09/2022,108.808,0
06/09/2022,106.94,0
05/09/2022,106.884,0
02/09/2022,106.537,0
01/09/2022,105.99,0
31/08/2022,105.98,0
30/08/2022,106.582,0
29/08/2022,105.75,0
26/08/2022,105.548,0
25/08/2022,105.678,0
24/08/2022,105.503,0
23/08/2022,105.418,0
22/08/2022,105.403,0
19/08/2022,104.875,0
18/08/2022,104.43,0
17/08/2022,104.533,0
16/08/2022,103.16,0
15/08/2022,104.288,0
12/08/2022,104.182,0
11/08/2022,103.95,0
10/08/2022,104.898,0
09/08/2022,104.87,0
08/08/2022,104.326,0
05/08/2022,103.037,0
04/08/2022,104.22,0
03/08/2022,103.483,0
02/08/2022,102.431,0
01/08/2022,104.087,0
29/07/2022,104.93,0
28/07/2022,106.184,0
27/07/2022,106.382,0
26/07/2022,106.157,0
25/07/2022,105.455,0
22/07/2022,106.439,0
21/07/2022,107.398,0
20/07/2022,107.358,0
19/07/2022,106.469,0
18/07/2022,106.311,0
15/07/2022,105.996,0
14/07/2022,105.844,0
13/07/2022,104.909,0
12/07/2022,105.714,0
11/07/2022,105.24,0
08/07/2022,104.798,0
07/07/2022,104.292,0
06/07/2022,103.959,0
05/07/2022,105.64,0
04/07/2022,104.782,0
01/07/2022,105.465,0
30/06/2022,106.011,0
29/06/2022,105.673,0
28/06/2022,105.215,0
27/06/2022,104.712,0
24/06/2022,103.818,0
23/06/2022,104.919,0
22/06/2022,105.354,0
21/06/2022,104.05,0
20/06/2022,104.044,0
17/06/2022,102.225,0
16/06/2022,104.163,0
15/06/2022,104.509,0
14/06/2022,104.11,0
13/06/2022,105.332,0
10/06/2022,105.811,0
09/06/2022,107.069,0
08/06/2022,105.959,0
07/06/2022,105.05,0
06/06/2022,103.853,0
03/06/2022,103.346,0
02/06/2022,102.718,0
01/06/2022,101.849,0
31/05/2022,100.966,0
30/05/2022,100.028,0
27/05/2022,99.43,0
26/05/2022,99.172,0
25/05/2022,98.857,0
24/05/2022,99.972,0
23/05/2022,99.801,0
20/05/2022,99.705,0
19/05/2022,99.225,0
18/05/2022,101.064,0
17/05/2022,100.31,0
16/05/2022,100.266,0
13/05/2022,98.72,0
12/05/2022,99.906,0
11/05/2022,100.022,0
10/05/2022,100.2,0
09/05/2022,101.202,0
06/05/2022,101.604,0
05/05/2022,101.445,0
04/05/2022,101.376,0
03/05/2022,101.051,0
02/05/2022,101.132,0
29/04/2022,102.146,0
28/04/2022,100.19,0
27/04/2022,99.369,0
26/04/2022,100.299,0
25/04/2022,101.086,0
22/04/2022,101.987,0
21/04/2022,102.501,0
20/04/2022,102.605,0
19/04/2022,100.851,0
18/04/2022,100.361,0
15/04/2022,99.967,0
14/04/2022,99.763,0
13/04/2022,99.254,0
12/04/2022,99.24,0
11/04/2022,98.85,0
08/04/2022,98.581,0
07/04/2022,98.469,0
06/04/2022,99.041,0
05/04/2022,98.345,0
04/04/2022,97.873,0
01/04/2022,97.398,0
31/03/2022,97.736,0
30/03/2022,98.507,0
29/03/2022,98.775,0
28/03/2022,97.908,0
25/03/2022,97.696,-0.032
24/03/2022,96.447,-0.027
23/03/2022,96.409,0.031
22/03/2022,94.988,0.016
21/03/2022,94.601,0
18/03/2022,93.788,0.006
17/03/2022,93.689,-0.015
16/03/2022,92.632,-0.002
15/03/2022,92.195,-0.005
14/03/2022,92.263,0.03
11/03/2022,91.063,0.016
10/03/2022,90.583,-0.054
09/03/2022,89.782,-0.032
08/03/2022,90.123,-0.016
07/03/2022,90.394,-0.001
04/03/2022,91.126,-0.002
03/03/2022,91.331,0.01
02/03/2022,90.232,0.029
01/03/2022,90.845,-0.003
28/02/2022,90.586,0.029
25/02/2022,90.213,0.001
24/02/2022,90.234,-0.022
23/02/2022,90.147,-0.001
22/02/2022,89.819,0.019
21/02/2022,90.112,-0.001
18/02/2022,90.382,0.026
17/02/2022,90.884,0.003
16/02/2022,90.873,0
15/02/2022,90.758,-0.017
14/02/2022,90.825,0.009
11/02/2022,91.133,0.007
10/02/2022,91.187,0.006
09/02/2022,90.928,-0.005
08/02/2022,90.84,0.002
07/02/2022,90.401,-0.019
04/02/2022,90.667,-0.006
03/02/2022,90.148,0.007
02/02/2022,90.396,0.023
01/02/2022,90.521,-0.007
31/01/2022,90.307,0.03
28/01/2022,90.494,-0.019
27/01/2022,90.63,-0.016
26/01/2022,90.263,0.005
25/01/2022,90.294,0.01
24/01/2022,90.564,0.019
21/01/2022,91.174,0.022
20/01/2022,91.396,-0.005
19/01/2022,91.648,0.017
18/01/2022,91.529,-0.018
17/01/2022,91.128,-0.01
14/01/2022,91.218,0.024
13/01/2022,91.709,-0.005
12/01/2022,91.686,0.013
11/01/2022,91.013,-0.007
10/01/2022,91.411,-0.013
07/01/2022,91.021,-0.023
06/01/2022,91.011,-0.022
05/01/2022,91.434,0.001
04/01/2022,90.436,0.009
03/01/2022,90.948,-0.005
31/12/2021,90.259,0.018
30/12/2021,89.921,-0.008
29/12/2021,89.549,0.007
28/12/2021,89.751,0.012
27/12/2021,89.205,0
24/12/2021,89.235,0.005
23/12/2021,88.792,0.003
22/12/2021,88.212,-0.019
21/12/2021,87.865,-0.01
20/12/2021,88.015,-0.037
17/12/2021,88.936,-0.024
16/12/2021,88.918,-0.019
15/12/2021,88.391,0.004
14/12/2021,88.676,-0.012
13/12/2021,89.215,-0.006
10/12/2021,89.285,-0.024
09/12/2021,89.858,-0.025
08/12/2021,89.76,0.009
07/12/2021,88.913,-0.025
06/12/2021,88.163,0.04
03/12/2021,88.165,-0.004
02/12/2021,88.103,0.007
01/12/2021,88.68,0.004
30/11/2021,89.341,-0.011
29/11/2021,89.361,-0.009
26/11/2021,90.861,-0.043
25/11/2021,91.144,-0.008
24/11/2021,90.837,-0.018
23/11/2021,90.357,0.015
22/11/2021,90.19,0.003
19/11/2021,90.678,-0.03
18/11/2021,90.554,-0.025
17/11/2021,91.439,-0.006
