Data,Kurs ?redni,Zmiana
26/07/2023,398.794,-2.8115
25/07/2023,392.516,0.007
24/07/2023,393.515,-0.03
24/07/2023,392.425,0.07
21/07/2023,394.563,-0.113
20/07/2023,394.235,-0.147
19/07/2023,390.255,0.184
18/07/2023,387.02,0.03
17/07/2023,386.55,-0.02
14/07/2023,387.647,0.209
13/07/2023,389.329,-0.02
12/07/2023,389.67,0.011
11/07/2023,390.361,-0.03
10/07/2023,392.575,-0.37
07/07/2023,396.216,0.012
06/07/2023,393.343,-0.01
05/07/2023,387.089,0.021
04/07/2023,383.709,-0.1
03/07/2023,382.192,0.076
30/06/2023,380.796,-0.079
29/06/2023,379.308,0.05
28/06/2023,378.408,-0.05
27/06/2023,376.477,-0.06
26/06/2023,378.561,0.02
23/06/2023,377.818,-0.01
22/06/2023,376.538,-0.02
21/06/2023,378.086,0.01
20/06/2023,380.334,-0.02
19/06/2023,382.031,-0.054
16/06/2023,382.704,0.067
15/06/2023,382.605,-0.086
14/06/2023,380.587,0.01
13/06/2023,378.195,0.05
12/06/2023,378.732,-0.119
09/06/2023,380.139,0.166
08/06/2023,379.072,-0.069
07/06/2023,379.69,0.032
06/06/2023,379.99,0.37
05/06/2023,379.605,-0.015
02/06/2023,380.483,-0.13
01/06/2023,380.593,-0.029
31/05/2023,381.044,0.141
30/05/2023,382.375,-0.175
29/05/2023,382.84,0
26/05/2023,382.92,0.077
25/05/2023,383.685,-0.02
24/05/2023,384.565,-0.016
23/05/2023,386.41,-0.03
22/05/2023,386.437,-0.15
19/05/2023,386.695,-0.34
18/05/2023,383.02,0
17/05/2023,379.835,-0.01
16/05/2023,378.96,-0.207
15/05/2023,379.153,0.076
12/05/2023,380.575,0
11/05/2023,379.425,-0.04
10/05/2023,379.301,0.24
09/05/2023,379.625,0.026
08/05/2023,379.255,-0.019
05/05/2023,380.05,0.041
04/05/2023,382.095,0.064
03/05/2023,382.255,-0.03
02/05/2023,379.067,-0.127
01/05/2023,378.605,-0.066
28/04/2023,378.955,-0.067
27/04/2023,378.748,-0.06
26/04/2023,383.223,-0.03
25/04/2023,383.957,-0.01
24/04/2023,384.059,0.012
21/04/2023,384.623,-0.08
20/04/2023,385.354,-0.153
19/04/2023,380.929,0.3
18/04/2023,377.485,-0.448
17/04/2023,379.245,-0.039
14/04/2023,380.324,-0.12
13/04/2023,380.83,-0.369
12/04/2023,381.254,0.065
11/04/2023,380.474,0.135
10/04/2023,379.383,-0.03
07/04/2023,379.521,0.125
06/04/2023,381.384,0
05/04/2023,380.49,-0.052
04/04/2023,378.942,0.074
03/04/2023,382.032,0.039
31/03/2023,382.31,-0.145
30/03/2023,381.682,-0.028
29/03/2023,381.378,0.14
28/03/2023,385.83,0.057
27/03/2023,389.416,-1.567
24/03/2023,390.044,0.068
23/03/2023,386.107,0.132
22/03/2023,391.664,0.01
21/03/2023,393.959,-0.159
20/03/2023,402.177,-0.015
17/03/2023,400.981,-0.102
16/03/2023,403.802,1.657
15/03/2023,403.413,-0.049
14/03/2023,400.406,-0.014
13/03/2023,395.894,0.233
10/03/2023,389.847,0.24
09/03/2023,382.059,-0.005
08/03/2023,382.035,-0.08
07/03/2023,379.565,0.14
06/03/2023,379.55,-0.076
03/03/2023,378.741,-0.143
02/03/2023,374.35,0.063
01/03/2023,375.935,-0.064
28/02/2023,380.309,0.014
27/02/2023,381.671,0.01
24/02/2023,384.817,0.182
23/02/2023,385.395,0.253
22/02/2023,387.415,-0.039
21/02/2023,388.07,0.01
20/02/2023,387.664,-0.053
17/02/2023,389.406,0.132
16/02/2023,386.763,0.406
15/02/2023,383.08,-0.089
14/02/2023,386.02,0.008
13/02/2023,390.267,-0.01
10/02/2023,393.38,-0.128
09/02/2023,390.318,-0.18
08/02/2023,393.983,0.02
07/02/2023,396.929,0.19
06/02/2023,392.385,-0.03
03/02/2023,386.57,-0.015
02/02/2023,388.174,1.316
01/02/2023,391.618,0.034
31/01/2023,390.14,-0.054
30/01/2023,389.33,-0.05
27/01/2023,387.947,0.028
26/01/2023,387.115,0.126
25/01/2023,387.297,0.021
24/01/2023,392.212,-0.03
23/01/2023,394.37,0.03
20/01/2023,396.074,0.164
19/01/2023,398.836,0.02
18/01/2023,398.178,0.066
17/01/2023,399.375,-0.155
16/01/2023,396.573,0.01
13/01/2023,394.135,-0.095
12/01/2023,396.845,0.106
11/01/2023,400.547,-0.02
10/01/2023,401.975,0.034
09/01/2023,400.822,-0.03
06/01/2023,401.321,0.203
05/01/2023,402.052,-0.136
04/01/2023,403.272,0.023
03/01/2023,406.598,0.141
02/01/2023,404.554,0.496
30/12/2022,406.576,0.091
29/12/2022,407.568,-0.007
28/12/2022,406.808,-0.201
27/12/2022,405.581,-0.009
26/12/2022,403.211,0.51
23/12/2022,404.75,0.01
22/12/2022,408.208,0.266
21/12/2022,408.583,-0.025
20/12/2022,409.805,-0.031
19/12/2022,408.554,0.007
16/12/2022,410.778,0.053
15/12/2022,411.396,0.175
14/12/2022,413.062,-0.178
13/12/2022,416.847,0.024
12/12/2022,423.955,0.055
09/12/2022,423.665,0.03
08/12/2022,419.752,-0.001
07/12/2022,416.401,-0.293
06/12/2022,418.711,0
