Data,Kurs ?redni,Zmiana
26/07/2023,162.988,0.029
25/07/2023,162.659,0
24/07/2023,162.642,-0.044
21/07/2023,161.429,0
20/07/2023,162.688,0
19/07/2023,162.076,0
18/07/2023,161.222,0
17/07/2023,160.869,0
14/07/2023,160.697,0
13/07/2023,159.566,0
12/07/2023,159.428,0
11/07/2023,159.611,0
10/07/2023,159.954,0
07/07/2023,160.761,0
06/07/2023,160.788,0
05/07/2023,160.996,0
04/07/2023,161.356,0
03/07/2023,161.279,0
30/06/2023,161.012,0
29/06/2023,161.001,0
28/06/2023,160.97,0
27/06/2023,160.134,0
26/06/2023,160.223,0
23/06/2023,159.802,0
22/06/2023,158.746,0
21/06/2023,157.427,0
20/06/2023,158.375,0
19/06/2023,158.55,0
16/06/2023,157.262,0
15/06/2023,155.465,0
14/06/2023,154.82,0
13/06/2023,153.485,0
12/06/2023,154.283,0
09/06/2023,154.461,0
08/06/2023,153.8,0
07/06/2023,153.788,0
06/06/2023,153.829,0
05/06/2023,154.097,0
02/06/2023,153.193,0
01/06/2023,152.87,0
31/05/2023,154.265,0
30/05/2023,155.247,0
29/05/2023,155.381,-0.243
26/05/2023,154.64,0
25/05/2023,154.013,0
24/05/2023,153.725,0
23/05/2023,154.347,0
22/05/2023,153.272,0
19/05/2023,153.182,0
18/05/2023,153.1,0
17/05/2023,152.186,0
16/05/2023,151.897,0
15/05/2023,151.162,0
12/05/2023,150.375,0
11/05/2023,150.782,0
10/05/2023,151.962,0
09/05/2023,151.758,0
08/05/2023,151.691,0
05/05/2023,151.516,0
04/05/2023,152.276,0
03/05/2023,152.989,0
02/05/2023,153.529,0
01/05/2023,152.467,0
28/04/2023,149.569,0
27/04/2023,149.768,-0.016
26/04/2023,149.902,0
25/04/2023,151.127,0
24/04/2023,150.161,0
21/04/2023,150.14,0
20/04/2023,150.037,0
19/04/2023,149.581,0
18/04/2023,149.601,0
17/04/2023,149.687,0
14/04/2023,149.003,0
13/04/2023,148.545,0
12/04/2023,147.924,0
11/04/2023,146.837,0
10/04/2023,146,0
07/04/2023,145.524,0
06/04/2023,144.41,0.002
05/04/2023,145.079,0
04/04/2023,144.939,0
03/04/2023,145.257,0
31/03/2023,145.808,0
30/03/2023,144.367,0
29/03/2023,142.353,0
28/03/2023,143.397,0
27/03/2023,142.348,0.014
24/03/2023,142.735,0
23/03/2023,143.102,0
22/03/2023,143.594,0
21/03/2023,141.379,0
20/03/2023,142.665,0
17/03/2023,143.505,0
16/03/2023,142.71,0
15/03/2023,146.94,0
14/03/2023,145.87,0
13/03/2023,146.885,0
10/03/2023,146.184,0
09/03/2023,145.833,0
08/03/2023,145.791,0
07/03/2023,146.091,0
06/03/2023,145.114,0
03/03/2023,145.119,0
02/03/2023,144.937,0
01/03/2023,144.718,0
28/02/2023,145.64,0
27/02/2023,145.032,-0.023
24/02/2023,144.171,0
23/02/2023,144.848,0
22/02/2023,145.537,0
21/02/2023,145.495,0
20/02/2023,145.142,0.025
17/02/2023,144.67,0
16/02/2023,144.992,0
15/02/2023,144.3,0
14/02/2023,144.009,0
13/02/2023,142.381,0
10/02/2023,142.612,0
09/02/2023,142.658,0
08/02/2023,142.164,0
07/02/2023,142.911,0
06/02/2023,142.481,0
03/02/2023,140.946,0
02/02/2023,141.748,0
01/02/2023,141.957,0
31/01/2023,140.976,0
30/01/2023,140.998,0
27/01/2023,141.021,0
26/01/2023,140.907,0
25/01/2023,141.173,0
24/01/2023,141.679,0
23/01/2023,140.668,0.085
20/01/2023,140.149,0
19/01/2023,140.329,0
18/01/2023,139.117,0
17/01/2023,138.613,0
16/01/2023,138.135,0
13/01/2023,139.277,0
12/01/2023,141.663,0
11/01/2023,143.17,0
10/01/2023,143,0
09/01/2023,142.244,0
06/01/2023,142.4,0
05/01/2023,142.224,0
04/01/2023,140.182,0
03/01/2023,141.483,0
02/01/2023,141.77,0
30/12/2022,143.99,0
29/12/2022,144.441,0
28/12/2022,143.6,0
27/12/2022,142.428,0
26/12/2022,142.12,0.1
23/12/2022,142.102,0
22/12/2022,142.857,0
21/12/2022,142.357,0
20/12/2022,147.466,0
19/12/2022,146.103,0
16/12/2022,148.494,0
15/12/2022,146.401,0
14/12/2022,145.918,0
13/12/2022,146.928,-0.011
12/12/2022,146.192,0
09/12/2022,145.95,0
08/12/2022,145.016,0
07/12/2022,145.295,0
06/12/2022,144.989,0
05/12/2022,143.582,0
02/12/2022,144.31,0
01/12/2022,145.507,0
30/11/2022,145.335,0
29/11/2022,146.12,0
28/11/2022,147.088,0
25/11/2022,146.877,0
24/11/2022,147.998,0
23/11/2022,148.398,0
22/11/2022,148.228,0
21/11/2022,147.1,0
18/11/2022,147.302,0
17/11/2022,147.505,0
16/11/2022,147.353,0
15/11/2022,148.504,0
14/11/2022,147.175,0.29
11/11/2022,146.842,0
10/11/2022,148.604,0
09/11/2022,147.543,0
08/11/2022,148.248,0
07/11/2022,147.297,0
04/11/2022,146.4,0
03/11/2022,147.381,0
02/11/2022,147.933,0
01/11/2022,148.48,0
31/10/2022,148.322,0
28/10/2022,147.662,0
27/10/2022,148.339,0
26/10/2022,148.736,0
25/10/2022,148.934,0
24/10/2022,148.105,0
21/10/2022,149.554,0
20/10/2022,149.037,0
19/10/2022,150.147,0
18/10/2022,149.6,0
17/10/2022,148.06,0
14/10/2022,147.063,0
13/10/2022,147.094,0
12/10/2022,146.196,0
11/10/2022,145.72,0
10/10/2022,146.256,0
07/10/2022,146.474,0
06/10/2022,147.153,0
05/10/2022,146.896,0
04/10/2022,145.588,0
03/10/2022,146.898,0
30/09/2022,148.115,0
29/09/2022,147.678,0
28/09/2022,145.878,0
27/09/2022,145.582,0
26/09/2022,146.032,0
23/09/2022,145.812,0
22/09/2022,149.08,0
