Data,Kurs ?redni,Zmiana
26/07/2023,1.107,0.004
25/07/2023,1.106,0
24/07/2023,1.113,0
21/07/2023,1.114,0
20/07/2023,1.121,0
19/07/2023,1.123,0
18/07/2023,1.124,0
17/07/2023,1.123,0
14/07/2023,1.122,0
13/07/2023,1.114,0
12/07/2023,1.101,0
11/07/2023,1.101,0
10/07/2023,1.097,0
07/07/2023,1.089,0
06/07/2023,1.086,0
05/07/2023,1.088,0
04/07/2023,1.091,0
03/07/2023,1.091,0
30/06/2023,1.087,0
29/06/2023,1.092,0
28/06/2023,1.096,0
27/06/2023,1.091,0
26/06/2023,1.091,0
23/06/2023,1.096,0
22/06/2023,1.099,0
21/06/2023,1.092,0
20/06/2023,1.092,0
19/06/2023,1.094,0
16/06/2023,1.095,0
15/06/2023,1.084,0
14/06/2023,1.079,0
13/06/2023,1.076,0
12/06/2023,1.075,0
09/06/2023,1.078,0
08/06/2023,1.071,0
07/06/2023,1.07,0
06/06/2023,1.071,0
05/06/2023,1.07,0
02/06/2023,1.076,0
01/06/2023,1.07,0
31/05/2023,1.073,0
30/05/2023,1.071,0
29/05/2023,1.072,0
26/05/2023,1.072,0
25/05/2023,1.076,0
24/05/2023,1.077,0
23/05/2023,1.081,0
22/05/2023,1.082,0
19/05/2023,1.078,0
18/05/2023,1.084,0
17/05/2023,1.087,0
16/05/2023,1.087,0
15/05/2023,1.085,0
12/05/2023,1.091,0
11/05/2023,1.098,0
10/05/2023,1.096,0
09/05/2023,1.1,0
08/05/2023,1.102,0
05/05/2023,1.102,0
04/05/2023,1.107,0
03/05/2023,1.101,0
02/05/2023,1.097,0
01/05/2023,1.101,0
28/04/2023,1.103,0
27/04/2023,1.105,0
26/04/2023,1.098,0
25/04/2023,1.106,0
24/04/2023,1.099,0
21/04/2023,1.097,0
20/04/2023,1.095,0
19/04/2023,1.098,0
18/04/2023,1.093,0
17/04/2023,1.099,0
14/04/2023,1.105,0
13/04/2023,1.1,0
12/04/2023,1.092,0
11/04/2023,1.087,0
10/04/2023,1.091,0
07/04/2023,1.092,0
06/04/2023,1.09,0
05/04/2023,1.096,0
04/04/2023,1.091,0
03/04/2023,1.08,0
31/03/2023,1.09,0
30/03/2023,1.084,0
29/03/2023,1.084,0
28/03/2023,1.081,0
27/03/2023,1.078,0
24/03/2023,1.084,0
23/03/2023,1.087,0
22/03/2023,1.077,0
21/03/2023,1.072,0
20/03/2023,1.068,0
17/03/2023,1.061,0
16/03/2023,1.058,0
15/03/2023,1.073,0
14/03/2023,1.073,0
13/03/2023,1.068,0
10/03/2023,1.058,0
09/03/2023,1.055,0
08/03/2023,1.055,0
07/03/2023,1.069,0
06/03/2023,1.063,0
03/03/2023,1.06,0
02/03/2023,1.067,0
01/03/2023,1.058,0
28/02/2023,1.061,0
27/02/2023,1.055,0
24/02/2023,1.06,0
23/02/2023,1.061,0
22/02/2023,1.065,0
21/02/2023,1.068,0
20/02/2023,1.068,0
17/02/2023,1.067,0
16/02/2023,1.069,0
15/02/2023,1.074,0
14/02/2023,1.073,0
13/02/2023,1.068,0
10/02/2023,1.074,0
09/02/2023,1.072,0
08/02/2023,1.073,0
07/02/2023,1.073,0
06/02/2023,1.079,0
03/02/2023,1.091,0
02/02/2023,1.101,0
01/02/2023,1.086,0
31/01/2023,1.085,0
30/01/2023,1.087,0
27/01/2023,1.089,0
26/01/2023,1.092,0
25/01/2023,1.089,0
24/01/2023,1.087,0
23/01/2023,1.086,0
20/01/2023,1.083,0
19/01/2023,1.08,0
18/01/2023,1.079,0
17/01/2023,1.083,0
16/01/2023,1.082,0
13/01/2023,1.086,0
12/01/2023,1.077,0
11/01/2023,1.074,0
10/01/2023,1.073,0
09/01/2023,1.066,0
06/01/2023,1.052,0
05/01/2023,1.061,0
04/01/2023,1.055,0
03/01/2023,1.068,0
02/01/2023,1.071,0
30/12/2022,1.066,0
29/12/2022,1.063,0
28/12/2022,1.064,0
27/12/2022,1.064,0
26/12/2022,1.067,0
23/12/2022,1.06,0
22/12/2022,1.061,0
21/12/2022,1.063,0
20/12/2022,1.061,0
19/12/2022,1.059,0
16/12/2022,1.064,0
15/12/2022,1.068,0
14/12/2022,1.063,0
13/12/2022,1.054,0
12/12/2022,1.052,0
09/12/2022,1.056,0
08/12/2022,1.051,0
07/12/2022,1.047,0
06/12/2022,1.05,0
05/12/2022,1.054,0
02/12/2022,1.053,0
01/12/2022,1.043,0
30/11/2022,1.032,0
29/11/2022,1.035,0
28/11/2022,1.037,0
25/11/2022,1.041,0
24/11/2022,1.042,0
23/11/2022,1.031,0
22/11/2022,1.025,0
21/11/2022,1.033,0
18/11/2022,1.036,0
17/11/2022,1.04,0
16/11/2022,1.036,0
15/11/2022,1.032,0
14/11/2022,1.033,0
11/11/2022,1.019,0
10/11/2022,1.002,0
09/11/2022,1.008,0
08/11/2022,1.002,0
07/11/2022,0.993,0
04/11/2022,0.975,0
03/11/2022,0.981,0
02/11/2022,0.988,0
01/11/2022,0.989,0
31/10/2022,0.996,0
28/10/2022,0.997,0
27/10/2022,1.009,0
26/10/2022,0.996,0
25/10/2022,0.989,0
24/10/2022,0.986,0
21/10/2022,0.978,0
20/10/2022,0.977,0
19/10/2022,0.986,0
18/10/2022,0.985,0
17/10/2022,0.974,0
14/10/2022,0.975,0
13/10/2022,0.971,0
12/10/2022,0.97,0
11/10/2022,0.971,0
10/10/2022,0.974,0
07/10/2022,0.979,0
06/10/2022,0.991,0
05/10/2022,0.998,0
04/10/2022,0.983,0
03/10/2022,0.979,0
30/09/2022,0.983,0
29/09/2022,0.971,0
28/09/2022,0.96,0
27/09/2022,0.962,0
26/09/2022,0.969,0
23/09/2022,0.984,0
22/09/2022,0.983,0
21/09/2022,0.997,0
20/09/2022,1.003,0
19/09/2022,1.002,0
16/09/2022,0.999,0
15/09/2022,0.998,0
14/09/2022,0.998,0
13/09/2022,1.013,0
12/09/2022,1.007,0
09/09/2022,1.001,0
08/09/2022,1,0
07/09/2022,0.99,0
06/09/2022,0.995,0
05/09/2022,0.991,0
02/09/2022,0.995,0
01/09/2022,1.004,0
31/08/2022,1.003,0
30/08/2022,1.001,0
29/08/2022,0.994,0
26/08/2022,0.997,0
25/08/2022,0.997,0
24/08/2022,0.997,0
23/08/2022,0.994,0
22/08/2022,1.004,0
19/08/2022,1.009,0
18/08/2022,1.018,0
17/08/2022,1.017,0
16/08/2022,1.016,0
15/08/2022,1.026,0
12/08/2022,1.032,0
11/08/2022,1.03,0
10/08/2022,1.021,0
09/08/2022,1.02,0
08/08/2022,1.017,0
05/08/2022,1.025,0
04/08/2022,1.016,0
03/08/2022,1.016,0
02/08/2022,1.026,0
01/08/2022,1.021,0
29/07/2022,1.019,0
28/07/2022,1.021,0
27/07/2022,1.013,0
26/07/2022,1.022,0
25/07/2022,1.02,0
22/07/2022,1.022,0
21/07/2022,1.018,0
20/07/2022,1.023,0
19/07/2022,1.015,0
18/07/2022,1.01,0
15/07/2022,1.003,0
14/07/2022,1.003,0
13/07/2022,1.003,0
12/07/2022,1.005,0
11/07/2022,1.017,0
08/07/2022,1.017,0
07/07/2022,1.019,0
06/07/2022,1.026,0
05/07/2022,1.043,0
04/07/2022,1.043,0
01/07/2022,1.048,0
30/06/2022,1.045,0
29/06/2022,1.052,0
28/06/2022,1.058,0
27/06/2022,1.057,0
24/06/2022,1.052,0
23/06/2022,1.056,0
22/06/2022,1.053,0
21/06/2022,1.052,0
20/06/2022,1.049,0
17/06/2022,1.055,0
16/06/2022,1.046,0
15/06/2022,1.044,0
14/06/2022,1.042,0
13/06/2022,1.049,0
10/06/2022,1.062,0
09/06/2022,1.072,0
08/06/2022,1.07,0
07/06/2022,1.069,0
06/06/2022,1.073,0
03/06/2022,1.075,0
02/06/2022,1.065,0
01/06/2022,1.073,0
31/05/2022,1.077,0
