Data,Kurs ?redni,Zmiana
26/07/2023,181.528,0.148
25/07/2023,181.28,0
24/07/2023,181.355,-0.003
21/07/2023,180.014,0
20/07/2023,180.582,0
19/07/2023,181.209,0
18/07/2023,181.33,0
17/07/2023,181.531,0
14/07/2023,181.253,0
13/07/2023,179.732,0
12/07/2023,181.197,0
11/07/2023,181.733,0
10/07/2023,182.569,0
07/07/2023,183.411,0
06/07/2023,183.53,0
05/07/2023,183.61,0
04/07/2023,183.49,0
03/07/2023,183.277,0
30/06/2023,182.63,0
29/06/2023,182.519,0
28/06/2023,183.351,0
27/06/2023,182.352,0
26/06/2023,182.708,0
23/06/2023,182.299,0
22/06/2023,180.938,0
21/06/2023,180.397,0
20/06/2023,181.531,0
19/06/2023,181.98,0
16/06/2023,179.326,0
15/06/2023,177.324,0
14/06/2023,176.679,0
13/06/2023,174.523,0
12/06/2023,175.328,0
09/06/2023,174.377,0
08/06/2023,174.088,0
07/06/2023,173.387,0
06/06/2023,173.267,0
05/06/2023,174.263,0
02/06/2023,173.777,0
01/06/2023,173.155,0
31/05/2023,173.492,0
30/05/2023,173.42,0
29/05/2023,173.917,0
26/05/2023,172.424,0
25/05/2023,172.296,0
24/05/2023,172.087,0
23/05/2023,172.414,0
22/05/2023,171.565,0
19/05/2023,172.048,0
18/05/2023,171.766,0
17/05/2023,170.304,0
16/05/2023,170.38,0
15/05/2023,169.098,0
12/05/2023,168.19,0
11/05/2023,169.3,0
10/05/2023,170.778,0
09/05/2023,170.342,0
08/05/2023,170.748,0
05/05/2023,168.828,0
04/05/2023,169.07,0
03/05/2023,170.243,0
02/05/2023,171.685,0
01/05/2023,171.252,0
28/04/2023,167.07,0
27/04/2023,166.406,0.008
26/04/2023,165.977,0
25/04/2023,167.584,0
24/04/2023,166.73,0
21/04/2023,166.682,0
20/04/2023,167.407,0
19/04/2023,166.527,0
18/04/2023,166.351,0
17/04/2023,166.111,0
14/04/2023,165.917,0
13/04/2023,166.243,0
12/04/2023,166.044,0
11/04/2023,165.367,0
10/04/2023,164.198,0
07/04/2023,163.728,0
06/04/2023,163.112,-0.01
05/04/2023,164.226,0
04/04/2023,164.34,0
03/04/2023,163.828,0
31/03/2023,164.96,0
30/03/2023,163.221,0
29/03/2023,161.575,0
28/03/2023,161.37,0
27/03/2023,159.8,0.06
24/03/2023,160.686,0
23/03/2023,161.062,0
22/03/2023,161.776,0
21/03/2023,161.268,0
20/03/2023,161.196,0
17/03/2023,161.486,0
16/03/2023,160.387,0
15/03/2023,163.293,0
14/03/2023,161.982,0
13/03/2023,162.998,0
10/03/2023,162.591,0
09/03/2023,162.591,0
08/03/2023,162.475,0
07/03/2023,163.508,0
06/03/2023,163.589,0
03/03/2023,163.359,0
02/03/2023,163.786,0
01/03/2023,164.046,0
28/02/2023,164.381,0
27/02/2023,162.995,0
24/02/2023,161.76,0
23/02/2023,162.543,0
22/02/2023,163.436,0
21/02/2023,161.702,0
20/02/2023,161.55,0
17/02/2023,160.531,0
16/02/2023,161.146,0
15/02/2023,161.891,0
14/02/2023,160.798,0
13/02/2023,158.527,0
10/02/2023,159.333,0
09/02/2023,158.575,0
08/02/2023,157.94,0
07/02/2023,159.48,0
06/02/2023,158.981,0
03/02/2023,157.32,0
02/02/2023,159.301,0
01/02/2023,160.1,0
31/01/2023,161.12,0
30/01/2023,160.998,0
27/01/2023,161.133,0
26/01/2023,160.388,0
25/01/2023,160.509,0
24/01/2023,161.626,0
23/01/2023,160.48,-0.045
20/01/2023,159.076,0
19/01/2023,158.698,0
18/01/2023,157.534,0
17/01/2023,156.621,0
16/01/2023,156.505,0
13/01/2023,157.795,0
12/01/2023,160.336,0
11/01/2023,160.507,0
10/01/2023,160.489,0
09/01/2023,159.744,0
06/01/2023,158.759,0
05/01/2023,159.429,0
04/01/2023,157.074,0
03/01/2023,157.757,0
02/01/2023,158.112,0
30/12/2022,160.226,0
29/12/2022,161.198,0
28/12/2022,160.517,0
27/12/2022,160.401,0
26/12/2022,160.9,0
23/12/2022,159.32,0
22/12/2022,159.843,0
21/12/2022,160.737,0
20/12/2022,166.459,0
19/12/2022,166.048,0
16/12/2022,167.874,0
15/12/2022,168.077,0
14/12/2022,167.509,0
13/12/2022,168.687,0
12/12/2022,167.296,0
09/12/2022,167.12,0
08/12/2022,166.518,0
07/12/2022,166.056,0
06/12/2022,166.591,0
05/12/2022,164.86,0.3
02/12/2022,165.662,0
01/12/2022,165.84,0
30/11/2022,165.744,0
29/11/2022,165.894,0
28/11/2022,167.986,0
25/11/2022,167.866,0
24/11/2022,168.111,0
23/11/2022,167.876,0
22/11/2022,168.029,0
21/11/2022,166.678,0
18/11/2022,166.508,0
17/11/2022,165.978,0
16/11/2022,165.068,0
15/11/2022,164.627,0
14/11/2022,164.64,0
11/11/2022,165.706,0
10/11/2022,166.15,0
09/11/2022,167.806,0
08/11/2022,168.838,0
07/11/2022,166.375,0
04/11/2022,165.743,0
03/11/2022,168.339,0
02/11/2022,169.926,0
01/11/2022,170.551,0
31/10/2022,171.376,0
28/10/2022,169.132,0
