Data,Kurs ?redni,Zmiana
26/07/2023,0.536,-0.002
25/07/2023,0.539,0
24/07/2023,0.539,0
21/07/2023,0.54,0
20/07/2023,0.537,-0.001
19/07/2023,0.54,-0.001
18/07/2023,0.544,0
17/07/2023,0.549,0
14/07/2023,0.549,0
13/07/2023,0.546,0
12/07/2023,0.545,0
11/07/2023,0.549,0
10/07/2023,0.552,0
07/07/2023,0.552,0
06/07/2023,0.555,0
05/07/2023,0.556,0
04/07/2023,0.551,0
03/07/2023,0.549,0
30/06/2023,0.545,0
29/06/2023,0.545,0
28/06/2023,0.55,0
27/06/2023,0.552,0
26/06/2023,0.551,0
23/06/2023,0.553,0
22/06/2023,0.554,0
21/06/2023,0.554,0
20/06/2023,0.556,0
19/06/2023,0.557,-0.001
16/06/2023,0.556,0
15/06/2023,0.558,0
14/06/2023,0.558,0
13/06/2023,0.557,0
12/06/2023,0.553,0
09/06/2023,0.548,0
08/06/2023,0.55,0
07/06/2023,0.551,0
06/06/2023,0.55,0
05/06/2023,0.551,0
02/06/2023,0.549,0
01/06/2023,0.548,0
31/05/2023,0.547,0.001
30/05/2023,0.547,0
29/05/2023,0.548,0
26/05/2023,0.548,0
25/05/2023,0.552,0
24/05/2023,0.563,0
23/05/2023,0.565,0
22/05/2023,0.564,0.001
19/05/2023,0.564,0
18/05/2023,0.561,0
17/05/2023,0.559,0
16/05/2023,0.559,0
15/05/2023,0.556,0
12/05/2023,0.563,0
11/05/2023,0.567,0
10/05/2023,0.564,0
09/05/2023,0.564,0
08/05/2023,0.561,0
05/05/2023,0.557,0
04/05/2023,0.548,0
03/05/2023,0.555,0
02/05/2023,0.552,0
01/05/2023,0.552,0
28/04/2023,0.549,0
27/04/2023,0.545,0
26/04/2023,0.548,0
25/04/2023,0.548,0
24/04/2023,0.548,0
21/04/2023,0.551,0
20/04/2023,0.553,0
19/04/2023,0.557,0
18/04/2023,0.555,0
17/04/2023,0.555,0
14/04/2023,0.56,0
13/04/2023,0.557,0
12/04/2023,0.559,0
11/04/2023,0.566,0
10/04/2023,0.566,0
07/04/2023,0.565,0
06/04/2023,0.572,0
05/04/2023,0.572,0
04/04/2023,0.575,0
03/04/2023,0.571,0.001
31/03/2023,0.573,0
30/03/2023,0.571,0
29/03/2023,0.575,0
28/03/2023,0.568,0
27/03/2023,0.571,0
24/03/2023,0.572,0
23/03/2023,0.571,0
22/03/2023,0.571,0
21/03/2023,0.58,0
20/03/2023,0.581,0
17/03/2023,0.576,0
16/03/2023,0.574,0
15/03/2023,0.57,0
14/03/2023,0.567,0
13/03/2023,0.566,0
10/03/2023,0.569,0
09/03/2023,0.575,0.001
08/03/2023,0.576,0
07/03/2023,0.577,0
06/03/2023,0.582,0
03/03/2023,0.586,0
02/03/2023,0.587,0
01/03/2023,0.582,0
28/02/2023,0.577,0
27/02/2023,0.579,0
24/02/2023,0.582,0
23/02/2023,0.579,0
22/02/2023,0.576,0
21/02/2023,0.577,0.001
20/02/2023,0.577,0
17/02/2023,0.579,0
16/02/2023,0.58,0
15/02/2023,0.584,0
14/02/2023,0.584,0
13/02/2023,0.583,0
10/02/2023,0.583,0
09/02/2023,0.581,0
08/02/2023,0.583,0
07/02/2023,0.585,0
06/02/2023,0.586,0
03/02/2023,0.591,0
02/02/2023,0.591,0
01/02/2023,0.59,0
31/01/2023,0.599,0
30/01/2023,0.598,0
27/01/2023,0.597,0
26/01/2023,0.595,0
25/01/2023,0.599,0
24/01/2023,0.598,0
23/01/2023,0.597,0
20/01/2023,0.585,0
19/01/2023,0.59,0
18/01/2023,0.593,0
17/01/2023,0.591,0
16/01/2023,0.592,0
13/01/2023,0.592,0
12/01/2023,0.593,0
11/01/2023,0.588,0
10/01/2023,0.586,-0.001
09/01/2023,0.589,0
06/01/2023,0.583,0
05/01/2023,0.584,0.001
04/01/2023,0.585,0
03/01/2023,0.585,0
02/01/2023,0.587,0
30/12/2022,0.586,0
29/12/2022,0.586,0
28/12/2022,0.583,0
27/12/2022,0.588,0
26/12/2022,0.586,0.002
23/12/2022,0.582,0
22/12/2022,0.583,0
21/12/2022,0.588,0
20/12/2022,0.591,0
19/12/2022,0.595,0
16/12/2022,0.588,0
15/12/2022,0.596,0
14/12/2022,0.599,0
13/12/2022,0.598,0
12/12/2022,0.598,0
09/12/2022,0.597,0
08/12/2022,0.597,0
07/12/2022,0.596,0
06/12/2022,0.596,0
05/12/2022,0.6,0
02/12/2022,0.596,0
01/12/2022,0.596,0
30/11/2022,0.591,0
29/11/2022,0.585,0
28/11/2022,0.589,0
25/11/2022,0.59,0
24/11/2022,0.588,0
23/11/2022,0.586,0
22/11/2022,0.584,0
21/11/2022,0.588,0
18/11/2022,0.584,0
17/11/2022,0.581,0
16/11/2022,0.581,0
15/11/2022,0.574,0
14/11/2022,0.576,0
11/11/2022,0.581,0
10/11/2022,0.579,0
09/11/2022,0.587,0
08/11/2022,0.587,0
07/11/2022,0.587,0.001
04/11/2022,0.584,0
03/11/2022,0.583,0
02/11/2022,0.585,0
01/11/2022,0.583,0
31/10/2022,0.578,0
28/10/2022,0.577,0
27/10/2022,0.575,0
26/10/2022,0.571,0
25/10/2022,0.57,0
24/10/2022,0.575,0.001
21/10/2022,0.569,0
20/10/2022,0.569,0
19/10/2022,0.566,0
18/10/2022,0.563,0
17/10/2022,0.559,0
14/10/2022,0.564,0
13/10/2022,0.559,0
12/10/2022,0.557,0
11/10/2022,0.557,0
10/10/2022,0.558,0
07/10/2022,0.56,0
06/10/2022,0.567,0
05/10/2022,0.561,0
04/10/2022,0.568,0
03/10/2022,0.554,0
30/09/2022,0.56,0
