Data,Kurs ?redni,Zmiana
26/07/2023,87.398,-0.378
25/07/2023,87.734,0
24/07/2023,87.752,0.028
21/07/2023,87.123,0
20/07/2023,87.413,0
19/07/2023,87.532,0
18/07/2023,87.679,0
17/07/2023,88.272,0
14/07/2023,88.24,0
13/07/2023,87.189,0
12/07/2023,86.849,0
11/07/2023,87.677,0
10/07/2023,88.235,0
07/07/2023,88.708,0
06/07/2023,89.21,0
05/07/2023,89.483,0
04/07/2023,88.986,0
03/07/2023,88.529,0
30/06/2023,87.827,0
29/06/2023,87.692,0
28/06/2023,88.58,0
27/06/2023,88.392,0
26/06/2023,88.24,0
23/06/2023,88.418,0
22/06/2023,87.931,0
21/06/2023,87.144,0
20/06/2023,87.995,0
19/06/2023,88.4,0
16/06/2023,87.441,0
15/06/2023,86.724,0
14/06/2023,86.32,0
13/06/2023,85.454,0
12/06/2023,85.424,0
09/06/2023,84.613,0
08/06/2023,84.518,0
07/06/2023,84.794,0
06/06/2023,84.59,0
05/06/2023,84.92,0
02/06/2023,84.134,0
01/06/2023,83.79,0
31/05/2023,84.511,0
30/05/2023,84.869,0
29/05/2023,85.317,0
26/05/2023,84.743,0
25/05/2023,85.029,0
24/05/2023,86.607,0
23/05/2023,87.159,0
22/05/2023,86.6,0.18
19/05/2023,86.425,0
18/05/2023,85.92,0
17/05/2023,85.074,0
16/05/2023,84.919,0
15/05/2023,83.87,0
12/05/2023,84.639,0
11/05/2023,85.414,0
10/05/2023,85.737,0
09/05/2023,85.602,0
08/05/2023,85.147,0
05/05/2023,84.384,0
04/05/2023,83.521,0
03/05/2023,84.956,0
02/05/2023,84.75,0
01/05/2023,84.161,0
28/04/2023,82.222,0
27/04/2023,81.678,0
26/04/2023,82.183,0
25/04/2023,82.791,0
24/04/2023,82.278,0
21/04/2023,82.771,0
20/04/2023,82.986,0
19/04/2023,83.296,0
18/04/2023,83.101,0
17/04/2023,83.065,0
14/04/2023,83.497,0
13/04/2023,82.743,0
12/04/2023,82.749,0
11/04/2023,83.101,0
10/04/2023,82.48,0.04
07/04/2023,82.209,0
06/04/2023,82.692,-0.008
05/04/2023,82.971,0
04/04/2023,83.36,0
03/04/2023,82.99,0
31/03/2023,83.497,0
30/03/2023,82.47,0
29/03/2023,81.935,0
28/03/2023,81.393,0
27/03/2023,81.253,0
24/03/2023,81.73,0
23/03/2023,81.74,0
22/03/2023,81.944,0
21/03/2023,82.008,0
20/03/2023,82.966,0
17/03/2023,82.716,0
16/03/2023,81.932,0
15/03/2023,83.726,0
14/03/2023,82.73,0
13/03/2023,82.835,0.01
10/03/2023,83.199,0
09/03/2023,83.893,0
08/03/2023,83.946,0
07/03/2023,84.276,0
06/03/2023,84.395,0.27
03/03/2023,85.031,0
02/03/2023,85.17,0
01/03/2023,84.341,0
28/02/2023,84.01,0
27/02/2023,84.078,0
24/02/2023,83.863,0
23/02/2023,83.964,0
22/02/2023,83.889,0
21/02/2023,84.039,0
20/02/2023,83.742,0
17/02/2023,83.714,0
16/02/2023,84.064,0
15/02/2023,84.241,0
14/02/2023,84.15,0
13/02/2023,83.023,0
10/02/2023,83.204,0
09/02/2023,82.95,0
08/02/2023,82.826,0
07/02/2023,83.652,0
06/02/2023,83.512,0
03/02/2023,83.369,0
02/02/2023,83.796,0
01/02/2023,83.745,0
31/01/2023,84.399,0
30/01/2023,84.286,0
27/01/2023,84.238,0
26/01/2023,83.77,0
25/01/2023,84.548,0
24/01/2023,84.742,0
23/01/2023,83.8,0.12
20/01/2023,82.069,0
19/01/2023,82.829,0
18/01/2023,82.5,0
17/01/2023,81.979,0
16/01/2023,81.688,-0.077
13/01/2023,82.496,0
12/01/2023,83.97,0
11/01/2023,84.158,0
10/01/2023,83.887,0
09/01/2023,83.775,0.13
06/01/2023,83.043,0
05/01/2023,83.097,0
04/01/2023,81.974,0
03/01/2023,82.723,0
02/01/2023,83.045,0
30/12/2022,84.326,0
29/12/2022,84.669,0
28/12/2022,83.722,0
27/12/2022,83.717,0
26/12/2022,83.485,0.05
23/12/2022,82.707,0
22/12/2022,83.237,0
21/12/2022,83.655,0
20/12/2022,87.124,0
19/12/2022,86.92,0.42
16/12/2022,87.358,0
15/12/2022,87.335,0
14/12/2022,87.483,0
13/12/2022,87.821,0
12/12/2022,87.385,0
09/12/2022,87.123,0
08/12/2022,86.644,0
07/12/2022,86.558,0
06/12/2022,86.382,0
05/12/2022,85.765,0.59
02/12/2022,86.074,0
01/12/2022,86.711,0
30/11/2022,85.961,0
29/11/2022,85.489,0
28/11/2022,86.626,0
25/11/2022,86.742,0
24/11/2022,87.067,0
23/11/2022,86.882,0
22/11/2022,86.64,0
21/11/2022,86.34,-0.04
18/11/2022,86.037,0
17/11/2022,85.676,0
16/11/2022,85.669,0
15/11/2022,85.312,0
14/11/2022,85.183,0
11/11/2022,85.278,0
10/11/2022,86.032,0
09/11/2022,86.622,0
08/11/2022,87.08,0
07/11/2022,86.531,0
04/11/2022,85.581,0
03/11/2022,85.955,0
02/11/2022,86.482,0
01/11/2022,86.621,0
31/10/2022,85.739,0
28/10/2022,85.231,0
27/10/2022,85.322,0
26/10/2022,84.963,0
25/10/2022,84.921,0
24/10/2022,85.185,0
21/10/2022,85.115,0
20/10/2022,84.814,0
19/10/2022,84.96,0
18/10/2022,84.251,0
17/10/2022,82.84,0
14/10/2022,83.04,0
13/10/2022,82.326,0
12/10/2022,81.449,0
11/10/2022,81.159,0
10/10/2022,81.55,0
07/10/2022,82.081,0
06/10/2022,83.411,0
05/10/2022,82.473,0
04/10/2022,82.644,0
03/10/2022,81.34,0
30/09/2022,82.92,0
29/09/2022,82.555,0
28/09/2022,81.467,0
27/09/2022,81.824,0
26/09/2022,82.383,0
23/09/2022,83.188,0
22/09/2022,84.1,0
21/09/2022,84.705,0
20/09/2022,85.44,0
19/09/2022,85.577,0
16/09/2022,85.381,0
15/09/2022,85.974,0
14/09/2022,86.696,0
13/09/2022,87.623,0
12/09/2022,87.149,0
09/09/2022,87.31,0
08/09/2022,87.358,0
07/09/2022,86.341,0
06/09/2022,85.72,0
05/09/2022,85.486,0
02/09/2022,85.218,0
01/09/2022,85.108,0
31/08/2022,85.059,0
30/08/2022,85.364,0
29/08/2022,84.635,0.01
26/08/2022,84.86,0
25/08/2022,84.723,0
24/08/2022,84.855,0
23/08/2022,84.954,0
22/08/2022,84.621,0
19/08/2022,84.779,0
18/08/2022,84.681,0
17/08/2022,85.166,0
16/08/2022,84.69,0
15/08/2022,85.95,0
12/08/2022,85.551,0
11/08/2022,85.085,0
10/08/2022,84.94,0
09/08/2022,84.784,0
08/08/2022,84.254,0
05/08/2022,83.49,0
04/08/2022,83.94,0
03/08/2022,82.969,0
02/08/2022,83.289,0
01/08/2022,83.75,0
29/07/2022,84.595,0
28/07/2022,85.193,0
27/07/2022,85.48,0
26/07/2022,85.37,0
25/07/2022,84.95,0
22/07/2022,85.585,0
21/07/2022,86.137,0
20/07/2022,86.125,0
19/07/2022,85.029,0
18/07/2022,85.594,0
15/07/2022,85.15,0
14/07/2022,84.06,0
13/07/2022,83.705,0
12/07/2022,84.07,0
11/07/2022,84.31,0
08/07/2022,83.965,0
07/07/2022,83.616,0
06/07/2022,83.542,0
05/07/2022,84.416,0
04/07/2022,83.83,0
01/07/2022,84.72,0
30/06/2022,85.013,0
29/06/2022,84.835,0
28/06/2022,85.22,0
27/06/2022,85.264,0
24/06/2022,84.744,0
23/06/2022,85.273,0
22/06/2022,86.065,0
21/06/2022,85.591,0
20/06/2022,85.554,0
17/06/2022,84.218,0
16/06/2022,84.37,0
15/06/2022,84.232,0
14/06/2022,84.215,0
13/06/2022,85.418,0
10/06/2022,85.821,0
09/06/2022,86.605,0
08/06/2022,86.08,0
07/06/2022,85.709,0
06/06/2022,85.065,0
03/06/2022,85.2,0
02/06/2022,84.303,0
01/06/2022,83.901,0
31/05/2022,83.789,0
30/05/2022,83.153,0
27/05/2022,82.338,0
26/05/2022,82.375,0
25/05/2022,81.737,0
24/05/2022,82.414,0
23/05/2022,81.905,-0.41
20/05/2022,81.561,0
19/05/2022,80.506,0
18/05/2022,82.298,0
17/05/2022,81.35,0
16/05/2022,81.377,0
13/05/2022,80.313,0
12/05/2022,81.579,0
11/05/2022,81.977,0
10/05/2022,82.427,0
09/05/2022,83.521,0
06/05/2022,83.796,0
05/05/2022,84.638,0
04/05/2022,83.704,0
03/05/2022,83.789,0
02/05/2022,83.921,0
29/04/2022,84.915,0
28/04/2022,83.981,0
27/04/2022,83.668,0
26/04/2022,84.538,0
25/04/2022,85.185,0
22/04/2022,86.331,0
21/04/2022,86.813,0
20/04/2022,87.243,0
19/04/2022,85.6,0
18/04/2022,85.582,0
15/04/2022,85.57,0
14/04/2022,85.249,0
13/04/2022,85.972,0
12/04/2022,85.532,0
11/04/2022,84.977,0.025
08/04/2022,85.42,0
07/04/2022,85.496,0
06/04/2022,85.901,0
05/04/2022,85.323,0
04/04/2022,84.679,0
01/04/2022,84.386,0
31/03/2022,85.037,0
30/03/2022,85.473,0
29/03/2022,85.408,0
28/03/2022,85.053,0
25/03/2022,85.202,0.003
24/03/2022,84.499,-0.034
23/03/2022,84.474,0.037
22/03/2022,82.251,0.022
21/03/2022,82.257,-0.039
18/03/2022,81.646,0.005
17/03/2022,81.187,-0.008
16/03/2022,79.973,0.011
15/03/2022,79.763,0.011
14/03/2022,80.046,0.015
11/03/2022,79.84,0.033
10/03/2022,79.262,-0.022
09/03/2022,78.745,-0.039
08/03/2022,78.875,0.01
07/03/2022,78.993,0.015
04/03/2022,78.623,0.008
03/03/2022,78.334,0.019
02/03/2022,77.683,-0.003
01/03/2022,77.873,0.02
28/02/2022,77.304,0.072
25/02/2022,77.277,0.004
24/02/2022,77.796,-0.025
23/02/2022,77.578,-0.002
22/02/2022,76.723,-0.003
21/02/2022,76.888,-0.002
18/02/2022,76.829,0.015
17/02/2022,77.065,0.01
16/02/2022,76.779,0.01
15/02/2022,76.451,0.002
14/02/2022,76.808,0.004
11/02/2022,77.35,0.007
10/02/2022,77.201,0.002
09/02/2022,76.808,0.007
08/02/2022,76.369,-0.003
07/02/2022,76.264,-0.012
04/02/2022,76.625,-0.002
03/02/2022,75.623,-0.016
02/02/2022,76.137,0.001
01/02/2022,75.715,0
31/01/2022,75.482,0.041
28/01/2022,75.938,-0.015
27/01/2022,76.403,-0.007
26/01/2022,76.147,-0.074
25/01/2022,76.429,0.001
24/01/2022,76.47,0.013
21/01/2022,76.938,0.007
20/01/2022,77.523,0
19/01/2022,77.571,-0.028
18/01/2022,77.86,0.003
17/01/2022,77.807,0.006
14/01/2022,78.291,0.008
13/01/2022,78.495,-0.006
12/01/2022,78.228,-0.008
11/01/2022,77.995,-0.009
10/01/2022,78.326,0.003
07/01/2022,78.092,-0.017
06/01/2022,78.874,-0.006
05/01/2022,79.146,-0.008
04/01/2022,78.283,0.006
03/01/2022,78.737,0.003
31/12/2021,78.57,-0.005
30/12/2021,78.61,-0.008
29/12/2021,78.09,-0.001
28/12/2021,78.222,0.01
27/12/2021,77.893,0
24/12/2021,77.949,0.243
23/12/2021,77.639,-0.017
22/12/2021,77.12,-0.009
21/12/2021,76.286,-0.005
20/12/2021,76.417,-0.04
17/12/2021,77.248,-0.03
16/12/2021,77.353,-0.008
15/12/2021,76.608,-0.012
14/12/2021,76.671,-0.042
13/12/2021,77.12,-0.012
10/12/2021,77.072,0.007
09/12/2021,77.401,-0.028
08/12/2021,77.031,0.005
07/12/2021,76.576,-0.015
06/12/2021,76.354,0.026
03/12/2021,76.972,0.007
02/12/2021,76.9,0.015
01/12/2021,77.308,-0.003
30/11/2021,77.709,0.01
29/11/2021,77.618,-0.029
26/11/2021,78.771,-0.038
25/11/2021,79.34,-0.016
24/11/2021,80.047,-0.005
23/11/2021,79.75,0.02
22/11/2021,79.775,0.004
19/11/2021,80.474,-0.024
18/11/2021,79.971,-0.016
17/11/2021,80.307,0.006
16/11/2021,80.364,-0.028
15/11/2021,80.257,0.009
12/11/2021,80.053,0.002
11/11/2021,80.478,-0.008
10/11/2021,80.427,-0.004
09/11/2021,81.085,-0.01
08/11/2021,80.644,0.02
05/11/2021,80.905,0.031
04/11/2021,81.857,-0.019
03/11/2021,81.198,-0.005
02/11/2021,81.901,-0.006
01/11/2021,81.977,-0.029
29/10/2021,81.732,-0.009
28/10/2021,81.489,0.007
27/10/2021,81.837,-0.003
26/10/2021,81.51,0.008
25/10/2021,81.261,0.001
22/10/2021,81.456,0.004
21/10/2021,82.332,-0.023
20/10/2021,81.952,-0.025
19/10/2021,81.05,-0.043
18/10/2021,80.983,-0.003
15/10/2021,80.084,-0.012
14/10/2021,78.994,-0.01
13/10/2021,78.601,0
12/10/2021,78.699,0.031
11/10/2021,77.689,0.009
08/10/2021,77.45,0
07/10/2021,77.04,-0.02
06/10/2021,77.544,0
05/10/2021,77.247,-0.009
04/10/2021,77.006,-0.009
01/10/2021,76.855,0.01
30/09/2021,76.898,0.03
29/09/2021,77.594,-0.027
28/09/2021,77.742,0.005
27/09/2021,77.681,0.005
24/09/2021,77.947,-0.031
23/09/2021,76.764,-0.027
22/09/2021,76.364,-0.007
21/09/2021,76.781,0.017
