Data,Kurs ?redni,Zmiana
26/07/2023,1.32,0.002
25/07/2023,1.318,0
24/07/2023,1.317,0
21/07/2023,1.317,0
20/07/2023,1.316,0
19/07/2023,1.317,0
18/07/2023,1.32,0
17/07/2023,1.323,0
14/07/2023,1.311,0
13/07/2023,1.318,0
12/07/2023,1.323,0
11/07/2023,1.327,0
10/07/2023,1.328,0
07/07/2023,1.337,0
06/07/2023,1.329,0
05/07/2023,1.322,0
04/07/2023,1.325,0
03/07/2023,1.325,0
30/06/2023,1.325,0
29/06/2023,1.325,0
28/06/2023,1.32,0
27/06/2023,1.315,0
26/06/2023,1.316,0
23/06/2023,1.315,0
22/06/2023,1.316,0
21/06/2023,1.323,0
20/06/2023,1.321,0
19/06/2023,1.32,0
16/06/2023,1.322,0
15/06/2023,1.333,0
14/06/2023,1.331,0
13/06/2023,1.336,0
12/06/2023,1.334,0
09/06/2023,1.336,0
08/06/2023,1.337,0
07/06/2023,1.34,0
06/06/2023,1.345,0
05/06/2023,1.343,0
02/06/2023,1.344,0
01/06/2023,1.357,0
31/05/2023,1.36,0
30/05/2023,1.36,0
29/05/2023,1.361,0
26/05/2023,1.364,0
25/05/2023,1.359,0
24/05/2023,1.35,0
23/05/2023,1.35,0
22/05/2023,1.349,0
19/05/2023,1.35,0
18/05/2023,1.347,0
17/05/2023,1.348,0
16/05/2023,1.347,0
15/05/2023,1.355,0
12/05/2023,1.349,0
11/05/2023,1.337,0
10/05/2023,1.338,0
09/05/2023,1.337,0
08/05/2023,1.338,0
05/05/2023,1.352,0
04/05/2023,1.363,0
03/05/2023,1.362,0
02/05/2023,1.355,0
01/05/2023,1.356,0
28/04/2023,1.36,0
27/04/2023,1.363,0
26/04/2023,1.362,0
25/04/2023,1.353,0
24/04/2023,1.354,0
21/04/2023,1.348,0
20/04/2023,1.347,0
19/04/2023,1.339,0
18/04/2023,1.339,0
17/04/2023,1.337,0
14/04/2023,1.334,0
13/04/2023,1.344,0
12/04/2023,1.346,0
11/04/2023,1.35,0
10/04/2023,1.35,0
07/04/2023,1.35,0
06/04/2023,1.345,0
05/04/2023,1.344,0
04/04/2023,1.343,0
03/04/2023,1.35,0
31/03/2023,1.352,0
30/03/2023,1.356,0
29/03/2023,1.359,0
28/03/2023,1.365,0
27/03/2023,1.373,0
24/03/2023,1.372,0
23/03/2023,1.372,0
22/03/2023,1.371,0
21/03/2023,1.367,0
20/03/2023,1.371,0
17/03/2023,1.372,0
16/03/2023,1.376,0
15/03/2023,1.369,0
14/03/2023,1.374,0
13/03/2023,1.376,0
10/03/2023,1.383,0
09/03/2023,1.38,0
08/03/2023,1.375,0
07/03/2023,1.362,0
06/03/2023,1.36,0
03/03/2023,1.359,0
02/03/2023,1.359,0
01/03/2023,1.365,0
28/02/2023,1.357,0
27/02/2023,1.359,0
24/02/2023,1.354,0
23/02/2023,1.355,0
22/02/2023,1.353,0
21/02/2023,1.345,0
20/02/2023,1.348,0
17/02/2023,1.347,0
16/02/2023,1.339,0
15/02/2023,1.334,0
14/02/2023,1.333,0
13/02/2023,1.336,0
10/02/2023,1.345,0
09/02/2023,1.345,0
08/02/2023,1.339,0
07/02/2023,1.344,0
06/02/2023,1.34,0
03/02/2023,1.332,0
02/02/2023,1.328,0
01/02/2023,1.331,0
