Data,Kurs,Zmiana,
2023-06-29,4.4568,-0.07,
2023-06-28,4.4600,0.71,
2023-06-27,4.4286,-0.02,
2023-06-26,4.4297,-0.16,
2023-06-23,4.4367,0.07,
2023-06-22,4.4335,-0.16,
2023-06-21,4.4408,0.05,
2023-06-20,4.4386,-0.16,
2023-06-19,4.4457,-0.28,
2023-06-16,4.4583,-0.11,
2023-06-15,4.4633,-0.18,
2023-06-14,4.4715,-0.15,
2023-06-13,4.4783,0.94,
2023-06-12,4.4366,-0.78,
2023-06-09,4.4717,-0.16,
2023-06-07,4.4790,-0.25,
2023-06-06,4.4902,0.11,
2023-06-05,4.4851,-0.66,
2023-06-02,4.5148,-0.36,
2023-06-01,4.5312,-0.14,
2023-05-31,4.5376,0.34,
2023-05-30,4.5220,-0.16,
2023-05-29,4.5294,0.11,
2023-05-26,4.5242,0.47,
2023-05-25,4.5030,0.51,
2023-05-24,4.4803,-0.40,
2023-05-23,4.4981,-0.64,
2023-05-22,4.5269,-0.22,
2023-05-19,4.5367,0.03,
2023-05-18,4.5355,0.91,
2023-05-17,4.4945,0.09,
2023-05-16,4.4904,-0.43,
2023-05-15,4.5096,-0.77,
2023-05-12,4.5444,0.41,
2023-05-11,4.5259,-0.50,
2023-05-10,4.5488,-0.43,
2023-05-09,4.5683,0.03,
2023-05-08,4.5671,-0.47,
2023-05-05,4.5885,0.04,
2023-05-04,4.5868,-0.05,
2023-05-02,4.5892,0.01,
2023-04-28,4.5889,-0.06,
2023-04-27,4.5915,0.06,
2023-04-26,4.5887,-0.20,
2023-04-25,4.5980,-0.32,
2023-04-24,4.6129,0.20,
2023-04-21,4.6039,-0.15,
2023-04-20,4.6109,-0.37,
2023-04-19,4.6278,-0.02,
2023-04-18,4.6286,-0.12,
2023-04-17,4.6341,-0.33,
2023-04-14,4.6494,-0.04,
2023-04-13,4.6511,-0.32,
2023-04-12,4.6660,-0.32,
2023-04-11,4.6810,-0.11,
2023-04-07,4.6862,-0.09,
2023-04-06,4.6902,0.21,
2023-04-05,4.6803,0.04,
2023-04-04,4.6785,-0.04,
2023-04-03,4.6805,0.11,
2023-03-31,4.6755,-0.10,
2023-03-30,4.6801,-0.10,
2023-03-29,4.6850,0.07,
2023-03-28,4.6816,-0.09,
2023-03-27,4.6856,-0.12,
2023-03-24,4.6911,0.20,
2023-03-23,4.6817,-0.15,
2023-03-22,4.6888,-0.20,
2023-03-21,4.6981,-0.27,
2023-03-20,4.7109,0.10,
2023-03-17,4.7062,0.18,
2023-03-16,4.6978,-0.08,
2023-03-15,4.7015,0.23,
2023-03-14,4.6909,0.13,
2023-03-13,4.6848,0.02,
2023-03-10,4.6838,0.00,
2023-03-09,4.6836,-0.39,
2023-03-08,4.7018,0.31,
2023-03-07,4.6871,-0.43,
2023-03-06,4.7073,0.06,
2023-03-03,4.7046,0.63,
2023-03-02,4.6750,-0.37,
2023-03-01,4.6925,-0.52,
2023-02-28,4.7170,0.02,
2023-02-27,4.7162,-0.18,
2023-02-24,4.7245,-0.59,
2023-02-23,4.7525,-0.03,
2023-02-22,4.7538,0.15,
2023-02-21,4.7469,-0.15,
2023-02-20,4.7542,-0.43,
2023-02-17,4.7747,0.04,
2023-02-16,4.7728,0.28,
2023-02-15,4.7593,-0.53,
2023-02-14,4.7847,-0.10,
2023-02-13,4.7895,0.38,
2023-02-10,4.7716,0.75,
2023-02-09,4.7363,-0.08,
2023-02-08,4.7402,-0.16,
2023-02-07,4.7476,0.60,
2023-02-06,4.7195,0.59,
2023-02-03,4.6920,-0.34,
2023-02-02,4.7079,0.00,
2023-02-01,4.7080,-0.02,
2023-01-31,4.7089,-0.15,
2023-01-30,4.7160,0.18,
2023-01-27,4.7076,-0.35,
2023-01-26,4.7239,0.34,
2023-01-25,4.7079,0.01,
2023-01-24,4.7073,-0.24,
2023-01-23,4.7186,0.10,
2023-01-20,4.7137,0.18,
2023-01-19,4.7053,-0.08,
2023-01-18,4.7091,0.31,
2023-01-17,4.6946,-0.12,
2023-01-16,4.7004,0.19,
2023-01-13,4.6915,0.06,
2023-01-12,4.6888,0.04,
2023-01-11,4.6871,-0.23,
2023-01-10,4.6981,0.02,
2023-01-09,4.6970,0.56,
2023-01-05,4.6709,0.04,
2023-01-04,4.6688,-0.24,
2023-01-03,4.6800,0.03,
2023-01-02,4.6784,-0.25,
2022-12-30,4.6899,-0.15,
2022-12-29,4.6969,0.07,
2022-12-28,4.6938,0.82,
2022-12-27,4.6558,0.42,
2022-12-23,4.6364,-0.40,
2022-12-22,4.6551,-0.21,
2022-12-21,4.6648,-0.33,
2022-12-20,4.6804,-0.17,
2022-12-19,4.6886,-0.10,
2022-12-16,4.6934,0.19,
2022-12-15,4.6843,-0.09,
2022-12-14,4.6886,-0.13,
2022-12-13,4.6945,0.07,
2022-12-12,4.6912,0.19,
2022-12-09,4.6821,-0.33,
2022-12-08,4.6976,0.02,
2022-12-07,4.6968,-0.06,
2022-12-06,4.6995,0.21,
2022-12-05,4.6898,0.10,
2022-12-02,4.6850,-0.09,
2022-12-01,4.6892,0.45,
2022-11-30,4.6684,-0.28,
2022-11-29,4.6813,-0.05,
2022-11-28,4.6835,-0.10,
2022-11-25,4.6884,-0.23,
2022-11-24,4.6993,0.07,
2022-11-23,4.6958,-0.25,
2022-11-22,4.7075,0.08,
2022-11-21,4.7035,-0.07,
2022-11-18,4.7067,0.06,
2022-11-17,4.7039,0.21,
2022-11-16,4.6942,-0.09,
2022-11-15,4.6985,0.41,
2022-11-14,4.6794,-0.75,
2022-11-10,4.7146,0.23,
2022-11-09,4.7037,0.27,
2022-11-08,4.6912,0.12,
2022-11-07,4.6858,-0.09,
2022-11-04,4.6898,-0.43,
2022-11-03,4.7101,0.13,
2022-11-02,4.7039,-0.11,
2022-10-31,4.7089,-0.23,
2022-10-28,4.7199,-0.64,
2022-10-27,4.7504,-0.46,
2022-10-26,4.7723,-0.17,
2022-10-25,4.7805,-0.13,
2022-10-24,4.7866,0.13,
2022-10-21,4.7804,-0.31,
2022-10-20,4.7955,-0.09,
2022-10-19,4.7997,-0.20,
2022-10-18,4.8092,-0.28,
2022-10-17,4.8229,-0.21,
2022-10-14,4.8330,-0.28,
2022-10-13,4.8468,-0.14,
2022-10-12,4.8536,-0.36,
2022-10-11,4.8711,0.07,
2022-10-10,4.8677,0.15,
2022-10-07,4.8606,0.33,
2022-10-06,4.8445,0.66,
2022-10-05,4.8128,0.25,
2022-10-04,4.8007,-0.55,
2022-10-03,4.8272,-0.87,
2022-09-30,4.8698,0.13,
2022-09-29,4.8637,1.02,
2022-09-28,4.8147,1.12,
2022-09-27,4.7616,0.11,
2022-09-26,4.7566,-0.05,
2022-09-23,4.7591,-0.35,
2022-09-22,4.7758,0.65,
2022-09-21,4.7449,0.60,
2022-09-20,4.7165,0.05,
2022-09-19,4.7142,-0.07,
2022-09-16,4.7176,0.03,
2022-09-15,4.7164,-0.07,
2022-09-14,4.7195,0.24,
2022-09-13,4.7082,-0.07,
2022-09-12,4.7113,0.03,
2022-09-09,4.7098,-0.31,
2022-09-08,4.7244,0.23,
2022-09-07,4.7137,-0.07,
2022-09-06,4.7168,-0.20,
2022-09-05,4.7263,0.25,
2022-09-02,4.7144,0.02,
2022-09-01,4.7133,-0.28,
2022-08-31,4.7265,-0.13,
2022-08-30,4.7328,-0.42,
2022-08-29,4.7529,0.24,
2022-08-26,4.7413,-0.36,
2022-08-25,4.7584,-0.39,
2022-08-24,4.7772,0.14,
2022-08-23,4.7706,0.45,
2022-08-22,4.7493,0.03,
2022-08-19,4.7480,0.50,
2022-08-18,4.7244,0.69,
2022-08-17,4.6921,-0.01,
2022-08-16,4.6928,0.20,
2022-08-12,4.6832,0.19,
2022-08-11,4.6745,-0.83,
2022-08-10,4.7138,0.25,
2022-08-09,4.7021,0.02,
2022-08-08,4.7013,-0.08,
2022-08-05,4.7053,-0.37,
2022-08-04,4.7230,0.42,
2022-08-03,4.7032,-0.13,
2022-08-02,4.7092,-0.81,
2022-08-01,4.7475,0.16,
2022-07-29,4.7399,-1.20,
2022-07-28,4.7973,0.34,
2022-07-27,4.7811,1.33,
2022-07-26,4.7183,-0.03,
2022-07-25,4.7196,-0.94,
2022-07-22,4.7643,0.14,
2022-07-21,4.7578,-0.05,
2022-07-20,4.7603,-0.27,
2022-07-19,4.7731,-0.08,
2022-07-18,4.7770,-0.72,
2022-07-15,4.8115,-0.53,
2022-07-14,4.8371,-0.06,
2022-07-13,4.8399,0.13,
2022-07-12,4.8337,0.75,
2022-07-11,4.7976,0.04,
2022-07-08,4.7958,-0.01,
2022-07-07,4.7965,0.05,
2022-07-06,4.7942,1.23,
2022-07-05,4.7358,0.76,
2022-07-04,4.7002,-0.37,
2022-07-01,4.7176,0.79,
2022-06-30,4.6806,-0.01,
2022-06-29,4.6809,-0.41,
2022-06-28,4.7004,0.08,
2022-06-27,4.6965,-0.27,
2022-06-24,4.7094,0.00,
2022-06-23,4.7096,1.09,
2022-06-22,4.6590,0.28,
2022-06-21,4.6460,-0.58,
2022-06-20,4.6731,-0.47,
2022-06-17,4.6951,0.66,
2022-06-15,4.6642,0.20,
2022-06-14,4.6548,0.51,
2022-06-13,4.6313,0.61,
2022-06-10,4.6030,0.45,
2022-06-09,4.5826,0.02,
2022-06-08,4.5817,-0.08,
2022-06-07,4.5855,-3.64,
2022-06-06,4.5880,-0.06,
2022-06-03,4.5908,0.07,
2022-06-02,4.5876,-0.03,
