Data,Kurs średni,Zmiana
11/07/2023,4.4426,-0.29
10/07/2023,4.4553,-0.56
07/07/2023,4.4803,0.11
06/07/2023,4.4754,0.58
05/07/2023,4.4498,0.51
04/07/2023,4.4273,-0.11
03/07/2023,4.4321,-0.41
30/06/2023,4.4503,-0.15
29/06/2023,4.4568,-0.07
28/06/2023,4.46,0.71
27/06/2023,4.4286,-0.02
26/06/2023,4.4297,-0.16
23/06/2023,4.4367,0.07
22/06/2023,4.4335,-0.16
21/06/2023,4.4408,0.05
20/06/2023,4.4386,-0.16
19/06/2023,4.4457,-0.28
16/06/2023,4.4583,-0.11
15/06/2023,4.4633,-0.18
14/06/2023,4.4715,-0.15
13/06/2023,4.4783,0.94
12/06/2023,4.4366,-0.78
09/06/2023,4.4717,-0.16
07/06/2023,4.479,-0.25
06/06/2023,4.4902,0.11
05/06/2023,4.4851,-0.66
02/06/2023,4.5148,-0.36
01/06/2023,4.5312,-0.14
31/05/2023,4.5376,0.34
30/05/2023,4.522,-0.16
29/05/2023,4.5294,0.11
26/05/2023,4.5242,0.47
25/05/2023,4.503,0.51
24/05/2023,4.4803,-0.4
23/05/2023,4.4981,-0.64
22/05/2023,4.5269,-0.22
19/05/2023,4.5367,0.03
18/05/2023,4.5355,0.91
17/05/2023,4.4945,0.09
16/05/2023,4.4904,-0.43
15/05/2023,4.5096,-0.77
12/05/2023,4.5444,0.41
11/05/2023,4.5259,-0.5
10/05/2023,4.5488,-0.43
09/05/2023,4.5683,0.03
08/05/2023,4.5671,-0.47
05/05/2023,4.5885,0.04
04/05/2023,4.5868,-0.05
02/05/2023,4.5892,0.01
28/04/2023,4.5889,-0.06
27/04/2023,4.5915,0.06
26/04/2023,4.5887,-0.2
25/04/2023,4.598,-0.32
24/04/2023,4.6129,0.2
21/04/2023,4.6039,-0.15
20/04/2023,4.6109,-0.37
19/04/2023,4.6278,-0.02
18/04/2023,4.6286,-0.12
17/04/2023,4.6341,-0.33
14/04/2023,4.6494,-0.04
13/04/2023,4.6511,-0.32
12/04/2023,4.666,-0.32
11/04/2023,4.681,-0.11
07/04/2023,4.6862,-0.09
06/04/2023,4.6902,0.21
05/04/2023,4.6803,0.04
04/04/2023,4.6785,-0.04
03/04/2023,4.6805,0.11
31/03/2023,4.6755,-0.1
30/03/2023,4.6801,-0.1
29/03/2023,4.685,0.07
28/03/2023,4.6816,-0.09
27/03/2023,4.6856,-0.12
24/03/2023,4.6911,0.2
23/03/2023,4.6817,-0.15
22/03/2023,4.6888,-0.2
21/03/2023,4.6981,-0.27
20/03/2023,4.7109,0.1
17/03/2023,4.7062,0.18
16/03/2023,4.6978,-0.08
15/03/2023,4.7015,0.23
14/03/2023,4.6909,0.13
13/03/2023,4.6848,0.02
10/03/2023,4.6838,0
09/03/2023,4.6836,-0.39
08/03/2023,4.7018,0.31
07/03/2023,4.6871,-0.43
06/03/2023,4.7073,0.06
03/03/2023,4.7046,0.63
02/03/2023,4.675,-0.37
01/03/2023,4.6925,-0.52
28/02/2023,4.717,0.02
27/02/2023,4.7162,-0.18
24/02/2023,4.7245,-0.59
23/02/2023,4.7525,-0.03
22/02/2023,4.7538,0.15
21/02/2023,4.7469,-0.15
20/02/2023,4.7542,-0.43
17/02/2023,4.7747,0.04
16/02/2023,4.7728,0.28
15/02/2023,4.7593,-0.53
14/02/2023,4.7847,-0.1
13/02/2023,4.7895,0.38
10/02/2023,4.7716,0.75
09/02/2023,4.7363,-0.08
08/02/2023,4.7402,-0.16
07/02/2023,4.7476,0.6
06/02/2023,4.7195,0.59
03/02/2023,4.692,-0.34
02/02/2023,4.7079,0
01/02/2023,4.708,-0.02
31/01/2023,4.7089,-0.15
30/01/2023,4.716,0.18
27/01/2023,4.7076,-0.35
26/01/2023,4.7239,0.34
25/01/2023,4.7079,0.01
24/01/2023,4.7073,-0.24
23/01/2023,4.7186,0.1
20/01/2023,4.7137,0.18
19/01/2023,4.7053,-0.08
18/01/2023,4.7091,0.31
17/01/2023,4.6946,-0.12
16/01/2023,4.7004,0.19
13/01/2023,4.6915,0.06
12/01/2023,4.6888,0.04
11/01/2023,4.6871,-0.23
10/01/2023,4.6981,0.02
09/01/2023,4.697,0.56
05/01/2023,4.6709,0.04
04/01/2023,4.6688,-0.24
03/01/2023,4.68,0.03
02/01/2023,4.6784,-0.25
30/12/2022,4.6899,-0.15
29/12/2022,4.6969,0.07
28/12/2022,4.6938,0.82
27/12/2022,4.6558,0.42
23/12/2022,4.6364,-0.4
22/12/2022,4.6551,-0.21
21/12/2022,4.6648,-0.33
